venue,base,n_windows,bid_500_min,bid_500_med,bid_500_max,bid_500_winok,bid_1000_min,bid_1000_med,bid_1000_max,bid_1000_winok,bid_2500_min,bid_2500_med,bid_2500_max,bid_2500_winok,bid_5000_min,bid_5000_med,bid_5000_max,bid_5000_winok,bid_10000_min,bid_10000_med,bid_10000_max,bid_10000_winok,bid_25000_min,bid_25000_med,bid_25000_max,bid_25000_winok,ask_500_min,ask_500_med,ask_500_max,ask_500_winok,ask_1000_min,ask_1000_med,ask_1000_max,ask_1000_winok,ask_2500_min,ask_2500_med,ask_2500_max,ask_2500_winok,ask_5000_min,ask_5000_med,ask_5000_max,ask_5000_winok,ask_10000_min,ask_10000_med,ask_10000_max,ask_10000_winok,ask_25000_min,ask_25000_med,ask_25000_max,ask_25000_winok,spread_med,spread_max
bitget,FIL,9,0.72,1.47,2.6,9,0.72,1.81,3.52,9,0.72,2.69,6.2,9,1.17,3.72,7.52,9,2.76,4.68,8.71,9,4.73,6.35,10.26,9,0.98,1.54,2.53,9,1.75,2.34,3.27,9,2.52,3.59,5.0,9,2.88,4.74,6.5,9,3.7,5.93,7.76,9,4.51,7.23,9.57,9,1.3,3.9
bitget,KAS,9,3.67,6.46,8.15,9,3.67,7.16,9.58,9,5.58,8.86,11.77,9,8.22,10.77,13.23,9,10.03,13.07,14.66,9,13.58,17.85,23.88,9,3.6,5.45,6.98,9,3.6,6.84,8.43,9,4.92,7.36,11.84,9,6.86,9.11,14.53,9,10.16,11.65,17.96,9,15.42,18.12,22.92,9,7.32,10.9
bitget,KITE,9,5.91,7.29,10.15,9,6.72,9.78,13.77,9,9.46,13.1,19.05,9,13.22,16.46,24.88,9,16.87,22.54,32.98,5,26.38,34.15,45.76,0,6.28,7.94,8.69,9,7.8,9.32,11.96,9,10.36,13.79,18.86,9,14.28,18.79,25.11,8,18.53,24.21,32.74,5,26.69,44.24,52.23,0,12.89,13.08
bitget,LDO,9,2.73,3.92,4.91,9,3.66,5.06,5.37,9,4.21,5.85,8.18,9,5.38,6.41,10.12,9,6.59,9.34,13.63,9,7.81,14.82,20.91,9,2.76,4.26,5.96,9,2.76,6.06,8.15,9,4.2,8.64,9.74,9,6.12,9.98,12.49,9,9.57,12.1,16.43,9,14.15,16.73,27.37,7,5.44,5.62
bitget,MAGMA,9,4.32,7.6,9.75,9,6.51,9.56,11.7,9,11.29,13.5,17.77,9,15.18,17.8,21.63,9,18.06,21.59,25.01,8,25.26,36.51,48.88,0,3.94,6.38,9.51,9,6.38,8.83,12.93,9,9.04,11.01,15.07,9,11.89,14.28,18.56,9,14.94,17.52,23.16,9,20.69,31.22,45.46,3,6.34,13.8
bitget,ONDO,9,1.44,1.47,3.33,9,1.44,1.97,3.86,9,1.47,2.87,4.17,9,1.78,3.58,4.28,9,3.09,3.95,4.99,9,3.87,4.32,7.12,9,1.44,1.48,3.55,9,1.44,2.89,3.97,9,1.46,2.97,4.23,9,2.7,3.75,5.08,9,3.55,4.26,6.2,9,4.04,5.44,6.88,9,2.93,2.97
bitget,POWER,9,7.59,8.45,13.89,9,7.73,11.2,15.87,9,10.56,16.86,20.51,9,16.21,23.85,29.16,7,28.77,34.35,43.93,0,45.89,64.04,94.43,0,6.81,9.6,12.61,9,8.64,11.76,14.15,9,10.31,16.47,18.36,9,14.2,23.89,26.84,5,22.34,34.19,41.93,1,44.2,72.6,99.07,0,11.71,15.36
bitget,RIVER,9,3.93,7.4,8.1,9,3.97,7.44,8.1,9,7.39,7.74,9.61,9,7.74,8.73,10.72,9,11.42,13.48,15.43,9,20.24,22.17,26.2,8,4.16,7.47,8.11,9,7.39,7.74,9.65,9,7.4,8.34,13.59,9,9.72,10.91,15.93,9,13.04,15.3,20.13,9,21.66,27.66,34.42,2,14.79,16.21
bitget,RUNE,9,2.1,3.47,4.66,9,2.26,5.18,6.58,9,5.5,8.29,9.84,9,9.14,12.91,15.09,9,13.04,18.37,20.83,9,21.08,28.23,35.31,3,1.06,3.83,5.07,9,1.06,5.16,7.24,9,4.58,7.8,10.86,9,7.99,11.2,15.25,9,10.99,17.22,20.76,9,19.24,29.03,32.83,1,2.14,4.3
bitget,TAO,9,1.28,1.75,2.16,9,1.78,2.16,2.65,9,2.35,2.91,3.8,9,2.76,3.79,4.79,9,3.11,4.85,6.19,9,3.54,5.94,7.72,9,0.87,1.42,2.1,9,1.18,1.9,2.73,9,1.29,2.57,3.61,9,1.52,3.08,4.17,9,1.88,3.49,5.18,9,3.45,4.49,6.57,9,1.85,2.77
