coin,short_venue,long_venue,iv_short,iv_long,overlap_days,apr_90d,apr_30d,apr_14d,pos_day_frac,persist_3bps,persist_10bps,persist_25bps,cond1_pos,cond7_pos,n_episodes,med_ep_days,max_ep_days,med_ep_slope_apr_day,trend_apr_pts_day,trend7_apr_pts_day,max_dd_notional,daily_std,live_gross_apr,cost_roundtrip,net_apr_14d_hold,net_apr_30d_hold,net_apr_ep_hold,flag
AEON,aster,okx,1.0,4.0,35.875,0.330683,0.398312,0.042458,0.756757,0.756757,0.459459,0.108108,0.857143,0.75,4,2,24,-0.029296,-0.013491,-0.003817,0.007835,0.001702,0.05475,0.0018,0.283755,0.308783,0.002183,E1
AEON,aster,bitget,1.0,4.0,35.875,0.271756,0.351851,0.031779,0.756757,0.72973,0.432432,0.081081,0.857143,0.75,4,2,24,-0.023079,-0.009885,0.00226,0.006879,0.001553,0.0,0.002,0.219614,0.247423,-0.093244,E1
RIVER,aster,bitget,1.0,4.0,89.875,0.246396,0.322176,0.286919,1.0,0.615385,0.21978,0.010989,0.989011,0.923077,1,91,91,-0.000306,-0.000306,-0.000578,8e-05,0.000538,0.0,0.002,0.194253,0.222063,0.238374,E1
RIVER,aster,binance,1.0,4.0,89.875,0.231699,0.306187,0.271097,1.0,0.615385,0.208791,0.010989,0.989011,0.923077,1,91,91,-0.000109,-0.000109,-0.000415,4.4e-05,0.000503,0.0,0.0018,0.18477,0.209799,0.224479,E1
LAB,aster,okx,1.0,4.0,73.708333,-4.308383,0.305162,0.143191,0.76,0.6,0.253333,0.013333,0.947368,0.859649,3,1,55,-0.002595,0.235509,0.208565,0.915897,0.03476,0.05475,0.0018,-4.355311,-4.330283,,E1
RIVER,aster,bybit,1.0,4.0,89.875,0.229477,0.300126,0.272366,1.0,0.571429,0.208791,0.010989,0.989011,0.923077,1,91,91,-0.000308,-0.000308,-0.000655,8e-05,0.000513,0.0,0.0019,0.179942,0.206361,0.221856,E1
VELVET,aster,bitget,1.0,4.0,89.875,0.131396,0.286457,0.07484,0.835165,0.472527,0.164835,0.043956,0.907895,0.763158,7,7,27,0.000947,0.000913,0.000875,0.010097,0.001017,0.0,0.002,0.079254,0.107063,0.027111,E1
XMR,aster,bybit,1.0,8.0,89.708333,0.16397,0.279423,0.412113,0.868132,0.505495,0.153846,0.010989,0.911392,0.822785,7,9,24,0.001884,0.002851,0.002302,0.003195,0.000575,0.0,0.0019,0.114434,0.140853,0.086914,E1
XMR,aster,bitget,1.0,8.0,89.708333,0.161091,0.275915,0.413073,0.868132,0.505495,0.131868,0.010989,0.911392,0.822785,7,9,24,0.001857,0.002809,0.002245,0.003247,0.00057,0.0,0.002,0.108948,0.136758,0.07998,E1
BEAT,aster,bybit,1.0,4.0,89.875,0.281525,0.257759,0.190967,0.912088,0.725275,0.285714,0.076923,0.915663,0.855422,7,6,51,-0.00861,-0.003328,-0.003543,0.003509,0.000968,0.0,0.0019,0.231989,0.258408,0.165941,E1
VELVET,aster,binance,1.0,4.0,89.875,0.109565,0.254603,0.083698,0.791209,0.384615,0.131868,0.032967,0.888889,0.722222,8,7,27,0.006687,0.001313,0.001259,0.008353,0.000867,0.0,0.0018,0.062636,0.087665,0.015708,E1
BEAT,aster,binance,1.0,4.0,89.875,0.267902,0.254519,0.194691,0.879121,0.714286,0.252747,0.054945,0.8875,0.825,9,5,42,-0.003788,-0.002977,-0.003098,0.003509,0.000943,0.0,0.0018,0.220973,0.246002,0.136502,E1
VELVET,aster,bybit,1.0,4.0,89.875,0.093369,0.243739,0.063896,0.791209,0.428571,0.098901,0.043956,0.875,0.708333,9,7,19,-0.002588,0.00118,0.001094,0.010159,0.000943,0.0,0.0019,0.043833,0.070252,-0.005703,E1
