coin,short_venue,long_venue,apr_90d,apr_30d,apr_14d,pos_day_frac,max_dd_notional,daily_std,overlap_days,iv_a,iv_b,cost_roundtrip,net_apr_14d_hold,net_apr_30d_hold,live_gross_apr
VIRTUAL,binance,hl,-0.034637,-0.107514,-0.155387,0.252747,0.011727,0.000324,89.875,4.0,1.0,0.0019,-0.084172,-0.057753,0.0
RENDER,bybit,hl,-0.033855,-0.0856,-0.136496,0.230769,0.008336,0.000289,89.875,8.0,1.0,0.002,-0.085998,-0.058189,0.0
KAS,bybit,hl,-0.03508,-0.130287,-0.181995,0.285714,0.011257,0.000376,89.875,8.0,1.0,0.002,-0.087223,-0.059413,0.0
SHAZ,binance,bybit,-0.034516,-0.021858,-0.027854,0.232558,0.004177,0.000205,41.708333,8.0,8.0,0.0021,-0.089266,-0.060066,1.463785
ADA,hl,binance,-0.041282,0.015364,0.055129,0.472527,0.012485,0.000384,89.708333,1.0,8.0,0.0019,-0.090818,-0.064399,0.105678
ADA,hl,okx,-0.043949,0.014832,0.050919,0.461538,0.012997,0.000389,89.708333,1.0,8.0,0.0019,-0.093485,-0.067066,0.0
XRP,bybit,hl,-0.045074,-0.093458,-0.137793,0.263736,0.012575,0.000246,89.708333,8.0,1.0,0.002,-0.097217,-0.069407,0.0
BNC,bybit,binance,-0.045496,-0.032655,-0.018016,0.3125,0.00617,0.000293,46.708333,8.0,8.0,0.0021,-0.100246,-0.071046,0.715342
OP,hl,okx,-0.055647,-0.032735,-0.050378,0.384615,0.013994,0.00033,89.708333,1.0,8.0,0.0019,-0.105183,-0.078764,0.002541
ORDI,binance,hl,-0.061853,-0.081248,-0.08686,0.120879,0.015689,0.000136,89.875,4.0,1.0,0.0019,-0.111388,-0.084969,0.0
WLD,bybit,hl,-0.061665,-0.071366,-0.081494,0.186813,0.017748,0.000352,89.708333,8.0,1.0,0.002,-0.113808,-0.085998,0.0
PAXG,binance,hl,-0.067112,-0.083598,-0.065713,0.076923,0.016602,0.00011,89.875,4.0,1.0,0.0019,-0.116647,-0.090228,0.034524
WIF,binance,hl,-0.069228,-0.110965,-0.150252,0.087912,0.018654,0.000231,89.875,4.0,1.0,0.0019,-0.118764,-0.092345,0.0
LTC,binance,hl,-0.069245,-0.00347,0.0,0.111111,0.012464,0.000134,62.583333,8.0,1.0,0.0019,-0.11878,-0.092361,0.0
PAXG,bybit,hl,-0.070126,-0.084702,-0.07243,0.054945,0.017362,0.000107,89.875,8.0,1.0,0.002,-0.122268,-0.094459,0.099523
ORDI,bybit,hl,-0.070224,-0.089468,-0.098088,0.10989,0.017693,0.000145,89.875,8.0,1.0,0.002,-0.122367,-0.094557,0.0
BTC,binance,hl,-0.07162,-0.075012,-0.093248,0.054945,0.017607,0.000102,89.708333,8.0,1.0,0.0019,-0.121156,-0.094737,0.0
BTC,bybit,hl,-0.073826,-0.077712,-0.096212,0.054945,0.018148,0.000101,89.708333,8.0,1.0,0.002,-0.125968,-0.098159,0.0
WIF,bybit,hl,-0.078488,-0.124169,-0.167976,0.087912,0.020984,0.000244,89.875,8.0,1.0,0.002,-0.130631,-0.102821,0.0
LDO,binance,hl,-0.086721,0.0,0.0,0.045455,0.00495,0.0001,20.833333,8.0,1.000001,0.0019,-0.136256,-0.109837,0.0
RUNE,binance,hl,-0.087845,-0.100958,-0.099321,0.021978,0.02159,0.000148,89.708333,8.0,1.0,0.0019,-0.13738,-0.110961,0.0
RUNE,bybit,hl,-0.092569,-0.103534,-0.102278,0.021978,0.022751,0.000143,89.708333,8.0,1.0,0.002,-0.144711,-0.116902,0.0
ONDO,bybit,hl,-0.094204,-0.135659,-0.199752,0.076923,0.023279,0.000258,89.875,8.0,1.0,0.002,-0.146347,-0.118537,0.0
HYPE,binance,hl,-0.096209,-0.006237,0.0,0.0,0.016496,0.000128,62.583333,4.0,1.0,0.0019,-0.145745,-0.119326,0.0
ONDO,binance,hl,-0.09687,-0.132831,-0.194166,0.065934,0.023853,0.000249,89.875,4.0,1.0,0.0019,-0.146406,-0.119987,0.0
ENA,bybit,hl,-0.098208,-0.139544,-0.210901,0.032967,0.024182,0.000302,89.875,8.0,1.0,0.002,-0.150351,-0.122541,0.0
AR,binance,hl,-0.102761,0.0,0.0,0.023256,0.011742,8e-05,41.708333,8.0,1.000001,0.0019,-0.152297,-0.125878,0.0
TAO,binance,hl,-0.105608,-0.156993,-0.216305,0.021978,0.026004,0.000269,89.875,4.0,1.0,0.0019,-0.155143,-0.128724,0.0
TAO,bybit,hl,-0.108251,-0.167104,-0.226398,0.043956,0.026655,0.000278,89.875,8.0,1.0,0.002,-0.160394,-0.132584,0.000569
S,hl,binance,-0.122388,-0.061664,0.024559,0.428571,0.032953,0.000695,89.875,1.0,4.0,0.0019,-0.171923,-0.145504,0.048443
ZEC,hl,binance,-0.130328,0.0,0.0,0.545455,0.011389,0.00092,20.833333,1.000001,8.0,0.0019,-0.179864,-0.153445,0.01637
TRUMP,hl,binance,-0.18423,-0.014682,0.019962,0.340659,0.04658,0.000748,89.875,1.0,4.0,0.0019,-0.233766,-0.207347,0.104156
TRUMP,hl,okx,-0.210832,-0.014466,0.021127,0.318681,0.053221,0.000842,89.875,1.0,8.0,0.0019,-0.260368,-0.233949,0.076652
