coin,short_venue,long_venue,long_leg_n,hours,days,pos_frac,median_spread_apr,mean_spread_apr,p25_spread_apr,slope_apr_pts_day,short_leg_median_apr,long_leg_median_apr,rt_stress_pct,net_apr_30d_pct,net_apr_14d_pct,breakeven_days,short_venue_reachable,long_venue_reachable
XLE,bitget,WhiteBIT,90,713,29.7,0.742,10.9,5.7,-10.9,0.934,0.0,-10.9,0.42,5.8,0.0,14.0,untested,reachable
AMZN,binance,BingX,270,761,31.7,0.79,10.9,7.4,3.2,-0.214,0.0,-10.9,0.4,6.1,0.5,13.3,untested,reachable
APE,binance,CoinEx,112,1433,59.7,0.816,10.9,13.9,4.3,0.4,2.9,0.0,0.4,6.1,0.5,13.3,untested,blocked
APT,bitget,Bitfinex,270,169,7.0,0.811,10.9,10.3,8.0,-0.561,10.7,0.0,0.42,5.8,0.0,14.0,untested,untested
AVAX,hl,CoinEx,2156,1419,59.1,0.782,10.9,6.3,1.6,0.023,10.9,0.0,0.39,6.2,0.8,13.0,untested,blocked
AVAX,bitget,Bitfinex,270,169,7.0,0.905,10.9,8.8,5.5,-1.206,10.9,0.0,0.42,5.8,0.0,14.0,untested,untested
BCH,hl,CoinEx,589,1433,59.7,0.9,10.9,9.6,10.9,0.219,10.9,0.0,0.39,6.2,0.8,13.0,untested,blocked
BNC,binance,BingX,165,777,32.4,0.69,10.9,39.5,-5.4,-2.303,0.0,-10.9,0.4,6.1,0.5,13.3,untested,reachable
COAI,binance,GRVT,360,1437,59.9,1.0,10.9,12.1,10.9,0.034,10.9,0.0,0.4,6.1,0.5,13.3,untested,blocked
ETC,binance,CoinEx,270,1417,59.0,0.893,10.9,9.8,5.7,0.037,8.7,0.0,0.4,6.1,0.5,13.3,untested,blocked
GALA,bybit,CoinEx,144,1433,59.7,0.771,10.9,1.2,3.6,0.374,10.9,0.0,0.41,6.0,0.3,13.7,untested,blocked
GALA,bybit,Bitfinex,144,801,33.4,0.91,10.9,13.0,10.9,-0.129,10.9,0.0,0.41,6.0,0.3,13.7,untested,untested
HNT,bybit,CoinEx,180,1433,59.7,0.812,10.9,55.4,10.9,2.097,10.9,-1.3,0.41,6.0,0.3,13.7,untested,blocked
KAITO,binance,CoinEx,164,1433,59.7,0.913,10.9,18.9,10.9,-0.529,10.9,0.0,0.4,6.1,0.5,13.3,untested,blocked
KMNO,binance,CoinEx,360,1433,59.7,0.64,10.9,-0.0,-18.7,-0.839,10.9,0.0,0.4,6.1,0.5,13.3,untested,blocked
KSM,bybit,CoinEx,172,1433,59.7,0.653,10.9,1.0,-12.8,0.04,10.9,0.0,0.41,6.0,0.3,13.7,untested,blocked
LINEA,binance,Orderly,183,537,22.4,0.993,10.9,36.7,10.9,1.777,10.9,0.0,0.4,6.1,0.5,13.3,untested,reachable
MAGMA,aster,BingX,2160,1423,59.3,0.612,10.9,18.0,0.0,0.625,38.2,10.9,0.38,6.3,1.0,12.7,untested,reachable
MERL,bybit,Orderly,137,1433,59.7,0.718,10.9,15.0,0.0,0.38,10.9,10.9,0.41,6.0,0.3,13.7,untested,reachable
MEW,binance,CoinEx,326,1433,59.7,0.869,10.9,20.9,10.9,0.514,10.9,0.0,0.4,6.1,0.5,13.3,untested,blocked
MRVL,bybit,WhiteBIT,270,1417,59.0,0.56,10.9,-15.6,-10.9,1.213,0.0,10.9,0.41,6.0,0.3,13.7,untested,reachable
QQQ,bitget,WhiteBIT,270,1417,59.0,0.622,10.9,6.6,-10.9,0.378,0.0,10.9,0.42,5.8,0.0,14.0,untested,reachable
QQQ,binance,BingX,279,761,31.7,0.979,10.9,11.1,10.9,0.367,0.0,-10.9,0.4,6.1,0.5,13.3,untested,reachable
ETH,Orderly,dydx,1000,171,7.1,0.912,10.8,16.5,6.9,-3.887,10.9,0.4,0.4,6.0,0.4,13.5,reachable,untested
JUP,ApeX,dydx,1000,178,7.4,0.826,10.8,-0.9,6.6,5.488,10.9,0.0,0.4,6.0,0.4,13.5,blocked,untested
MANA,bitget,LBank,139,801,33.4,0.679,10.8,16.9,0.0,0.191,10.9,-2.4,0.42,5.7,-0.2,14.2,untested,blocked
LINK,aster,BingX,270,1417,59.0,0.779,10.7,7.4,2.4,0.086,10.9,0.2,0.38,6.1,0.8,12.9,untested,reachable
ETHFI,binance,BingX,539,1421,59.2,0.811,10.7,8.2,2.2,-0.089,10.9,0.2,0.4,5.9,0.3,13.6,untested,reachable
ETHFI,okx,MEXC,171,1437,59.9,0.585,10.7,3.7,0.0,0.248,10.9,0.2,0.4,5.9,0.3,13.6,untested,blocked
HBAR,hl,KuCoin,644,1433,59.7,0.667,10.7,6.6,0.0,0.107,10.9,0.2,0.39,6.0,0.6,13.3,untested,reachable
ETHFI,dydx,Variational,1000,175,7.3,0.777,10.6,17.8,1.1,-2.637,17.7,10.9,0.4,5.8,0.2,13.7,untested,blocked
AVAX,Orderly,dydx,1000,171,7.1,0.953,10.5,9.5,10.1,0.726,10.5,0.0,0.4,5.7,0.1,13.8,reachable,untested
LTC,hl,Deribit,2156,329,13.7,0.866,10.5,8.2,5.9,-0.642,10.9,0.4,0.39,5.8,0.3,13.5,untested,untested
LTC,hl,Deribit,2156,329,13.7,0.866,10.5,8.2,5.9,-0.642,10.9,0.4,0.39,5.8,0.3,13.5,untested,untested
AAVE,hl,KuCoin,2156,1419,59.1,0.788,10.5,9.9,2.6,0.2,10.9,0.4,0.39,5.8,0.3,13.5,untested,reachable
ETH,BitMEX,dydx,1000,175,7.3,0.92,10.4,16.3,6.7,-3.907,10.9,0.5,0.4,5.5,-0.0,14.0,reachable,untested
ETH,BitMEX,dydx,1000,175,7.3,0.92,10.4,16.3,6.7,-3.907,10.9,0.5,0.4,5.5,-0.0,14.0,reachable,untested
JELLYJELLY,aster,LBank,1440,801,33.4,0.591,10.4,22.2,0.0,-0.056,29.8,10.9,0.38,5.7,0.4,13.4,untested,blocked
ETHFI,dydx,LBank,1000,175,7.3,0.806,10.3,15.9,1.4,-3.414,17.7,10.9,0.4,5.5,-0.1,14.1,untested,blocked
COTI,aster,MEXC,176,176,7.3,0.898,10.3,33.6,4.9,6.646,-180.4,-194.0,0.38,5.7,0.4,13.5,untested,blocked
ETH,BingX,dydx,1000,171,7.1,0.854,10.2,14.6,3.2,-5.068,10.9,0.4,0.4,5.3,-0.2,14.3,reachable,untested
JUP,Backpack,dydx,1000,178,7.4,0.725,10.2,-5.3,-7.0,6.871,10.9,0.0,0.4,5.3,-0.2,14.3,reachable,untested
ICP,hl,Bitunix,686,1433,59.7,0.828,10.2,7.2,3.6,0.04,10.9,0.8,0.39,5.4,-0.0,14.0,untested,blocked
ETH,Pacifica,dydx,1000,178,7.4,0.893,10.1,15.6,5.4,-3.859,10.9,0.6,0.4,5.3,-0.3,14.4,blocked,untested
BCH,bitget,Variational,73,185,7.7,1.0,10.1,10.2,0.0,1.716,10.9,0.8,0.42,5.0,-0.8,15.1,untested,blocked
SNDK,WhiteBIT,aster,54,169,7.0,0.568,10.0,-0.0,-10.9,-3.916,10.9,0.0,0.38,5.3,0.1,13.9,reachable,untested
TBT,bitget,Bitunix,108,849,35.4,0.962,10.0,67.8,5.9,-2.164,0.0,-10.0,0.42,4.9,-0.9,15.3,untested,blocked
UNITREE,aster,Bitunix,119,309,12.9,0.832,10.0,13.4,0.6,-2.284,0.0,-11.9,0.38,5.4,0.1,13.8,untested,blocked
QQQ,binance,Nado,279,1417,59.0,0.745,10.0,7.4,-0.2,-0.018,0.0,-10.0,0.4,5.1,-0.5,14.7,untested,reachable
LINK,WhiteBIT,okx,69,1433,59.7,0.737,9.9,5.5,0.0,0.06,7.4,-2.5,0.4,5.0,-0.5,14.7,reachable,untested
ETH,hl,Coinbase,2156,1426,59.4,0.938,9.9,7.9,6.6,-0.031,10.9,0.9,0.39,5.1,-0.3,14.4,untested,blocked
CRO,bybit,Variational,144,801,33.4,1.0,9.9,8.4,0.0,-0.42,10.9,1.0,0.41,4.9,-0.8,15.1,untested,blocked
HBAR,hl,Bitunix,644,1437,59.9,0.766,9.9,7.4,2.3,0.11,10.9,1.0,0.39,5.2,-0.2,14.3,untested,blocked
HBAR,hl,Bitunix,644,1437,59.9,0.766,9.9,7.4,2.3,0.11,10.9,1.0,0.39,5.2,-0.2,14.3,untested,blocked
SKHY,okx,tradeXYZ,137,1281,53.4,0.619,9.9,8.4,-5.5,-0.394,0.0,-7.9,0.4,5.0,-0.5,14.8,untested,blocked
AVAX,dydx,Backpack,1000,178,7.4,0.809,9.9,12.5,3.0,0.273,0.0,-9.9,0.4,5.1,-0.5,14.7,untested,reachable
AVAX,bitget,Nado,270,1417,59.0,0.854,9.9,8.3,2.0,-0.028,9.4,-3.9,0.42,4.8,-1.0,15.5,untested,reachable
BTC,GRVT,dydx,1000,171,7.1,0.795,9.7,7.3,5.6,1.601,10.2,0.0,0.4,4.9,-0.7,15.0,blocked,untested
DOGE,bitget,Deribit,270,361,15.0,0.823,9.7,8.2,3.3,0.819,9.5,-1.0,0.42,4.6,-1.2,15.7,untested,untested
DOGE,bitget,Deribit,270,361,15.0,0.823,9.7,8.2,3.3,0.819,9.5,-1.0,0.42,4.6,-1.2,15.7,untested,untested
LDO,okx,MEXC,73,1433,59.7,0.765,9.7,6.0,0.5,0.117,10.9,1.2,0.4,4.9,-0.7,15.0,untested,blocked
CRV,dydx,Lighter,1000,178,7.4,0.657,9.6,8.9,-6.1,1.108,0.0,-9.6,0.4,4.8,-0.8,15.2,untested,blocked
ESP,bitget,BingX,276,1437,59.9,0.638,9.6,4.0,-2.0,0.704,-27.8,-42.3,0.42,4.5,-1.3,15.9,untested,reachable
ETH,Backpack,dydx,1000,178,7.4,0.921,9.5,15.1,5.9,-3.492,10.9,0.6,0.4,4.6,-0.9,15.4,reachable,untested
LINK,Coinbase,okx,69,1433,59.7,0.83,9.5,6.4,4.5,0.048,7.0,-2.5,0.4,4.7,-0.9,15.3,blocked,untested
CC,Backpack,binance,540,1421,59.2,0.588,9.5,5.1,0.0,0.049,10.9,3.3,0.4,4.6,-0.9,15.4,reachable,untested
APE,aster,Bitunix,112,1433,59.7,0.71,9.5,6.4,0.0,0.097,10.9,1.5,0.38,4.8,-0.4,14.7,untested,blocked
AAVE,hl,Kraken,2156,1426,59.4,0.798,9.4,10.9,3.6,0.163,10.9,1.6,0.39,4.6,-0.8,15.2,untested,reachable
JASMY,bitget,Kraken,150,1433,59.7,0.542,9.4,13.1,-9.5,0.228,10.9,-1.2,0.42,4.3,-1.6,16.4,untested,reachable
GRAM,hl,Bitunix,1464,1423,59.3,0.613,9.3,6.5,0.0,0.637,10.9,2.6,0.39,4.6,-0.8,15.3,untested,blocked
XLE,binance,Crypto.com,180,1433,59.7,0.558,9.3,66.0,-5.0,-3.228,0.0,-5.8,0.4,4.4,-1.1,15.7,untested,reachable
GALA,bybit,Variational,144,801,33.4,0.99,9.3,8.0,3.9,0.36,10.9,1.7,0.41,4.3,-1.4,16.1,untested,blocked
BTC,hl,Deribit,2156,1426,59.4,0.864,9.2,6.3,3.1,0.024,10.9,1.4,0.39,4.5,-1.0,15.5,untested,untested
BTC,hl,Deribit,2156,1426,59.4,0.864,9.2,6.3,3.1,0.024,10.9,1.4,0.39,4.5,-1.0,15.5,untested,untested
BTC,hl,Deribit,2156,1426,59.4,0.864,9.2,6.3,3.1,0.024,10.9,1.4,0.39,4.5,-1.0,15.5,untested,untested
EUR,dydx,tradeXYZ,1317,1440,60.0,0.598,9.2,-55.5,-102.9,-3.197,10.9,0.0,0.4,4.3,-1.2,15.9,untested,blocked
HYPE,Pacifica,dydx,1000,178,7.4,0.697,9.1,0.2,-1.9,0.124,10.9,0.0,0.4,4.2,-1.4,16.1,blocked,untested
LDO,okx,Bitunix,73,1433,59.7,0.804,9.1,6.5,1.9,0.055,10.9,1.9,0.4,4.2,-1.3,16.1,untested,blocked
SKHYNIX,okx,Bitunix,164,1433,59.7,0.645,9.1,1.2,-23.6,-0.181,0.0,-4.7,0.4,4.3,-1.3,16.0,untested,blocked
CHZ,aster,KuCoin,912,1433,59.7,0.544,9.1,23.4,0.0,0.936,10.9,-5.4,0.38,4.5,-0.8,15.3,untested,reachable
MANA,okx,CoinEx,139,1433,59.7,0.587,9.1,2.0,-9.4,1.015,10.9,1.9,0.4,4.2,-1.4,16.1,untested,blocked
MERL,bybit,Coinbase,137,1433,59.7,0.557,9.1,2.7,-28.5,0.371,10.9,22.8,0.41,4.1,-1.6,16.5,untested,blocked
AMZN,binance,Coinbase,270,1417,59.0,0.629,8.8,5.3,-7.9,0.603,0.0,-4.4,0.4,3.9,-1.7,16.7,untested,blocked
XPT,GRVT,binance,539,1421,59.2,0.622,8.5,15.3,0.0,-0.719,8.5,0.0,0.4,3.7,-1.9,17.1,blocked,untested
ETH,dydx,ApeX,1000,178,7.4,0.736,8.5,3.8,-0.3,2.993,0.6,-8.9,0.4,3.6,-2.0,17.2,untested,blocked
CRO,bybit,LBank,144,801,33.4,0.66,8.5,10.4,0.0,-0.852,10.9,2.5,0.41,3.5,-2.2,17.6,untested,blocked
MANA,bitget,Bitunix,139,1433,59.7,0.687,8.5,9.5,0.0,0.088,10.9,0.7,0.42,3.4,-2.5,18.1,untested,blocked
ETH,Extended,dydx,1000,178,7.4,0.831,8.4,10.8,3.7,-2.194,9.6,0.6,0.4,3.6,-2.0,17.3,blocked,untested
AAVE,hl,Deribit,2156,171,7.1,0.936,8.4,7.8,4.9,1.355,10.9,2.3,0.39,3.7,-1.7,16.9,untested,untested
SAMSUNG,bybit,KuCoin,269,737,30.7,0.506,8.4,28.6,-10.9,1.57,0.0,-3.9,0.41,3.4,-2.3,17.9,untested,reachable
APE,bitget,LBank,112,801,33.4,0.8,8.4,7.3,8.4,-0.105,10.9,2.5,0.42,3.3,-2.5,18.2,untested,blocked
KAITO,bitget,Variational,164,189,7.9,0.868,8.4,19.4,0.0,1.397,10.9,-6.7,0.42,3.3,-2.6,18.3,untested,blocked
BNB,KuCoin,okx,73,1433,59.7,0.793,8.3,6.0,3.1,0.02,7.9,-0.4,0.4,3.4,-2.2,17.6,reachable,untested
LINK,hl,Extended,2156,1426,59.4,0.689,8.3,7.6,-0.4,0.169,10.9,2.6,0.39,3.6,-1.8,17.1,untested,blocked
BOME,binance,Coinbase,214,1437,59.9,0.862,8.3,12.0,8.3,0.01,10.9,2.6,0.4,3.5,-2.1,17.5,untested,blocked
AMZN,binance,Nado,270,1417,59.0,0.794,8.2,7.5,2.8,0.011,0.0,-8.2,0.4,3.3,-2.3,17.9,untested,reachable
APE,bitget,MEXC,112,1433,59.7,0.693,8.2,5.1,0.0,0.112,10.9,2.7,0.42,3.1,-2.7,18.7,untested,blocked
ZHIPU,aster,Bitunix,214,985,41.0,0.894,8.1,18.3,4.0,-0.655,0.0,-6.4,0.38,3.5,-1.8,17.1,untested,blocked
GRT,bitget,Bitunix,164,1433,59.7,0.664,8.1,9.4,0.0,-0.077,10.9,1.4,0.42,2.9,-2.9,19.0,untested,blocked
HYPE,GRVT,bybit,270,1417,59.0,0.856,8.0,9.7,4.6,-0.143,15.5,5.8,0.41,3.0,-2.7,18.8,blocked,untested
DOT,bitget,Bitunix,270,1417,59.0,0.638,8.0,3.6,0.0,0.104,10.9,3.0,0.42,2.9,-3.0,19.2,untested,blocked
DOT,bitget,Bitunix,270,1417,59.0,0.638,8.0,3.6,0.0,0.104,10.9,3.0,0.42,2.9,-3.0,19.2,untested,blocked
DRAM,okx,Bitunix,119,1433,59.7,0.759,8.0,3.5,1.0,0.034,0.0,-3.3,0.4,3.1,-2.4,18.2,untested,blocked
DOGE,bitget,Orderly,270,1417,59.0,0.898,7.9,5.7,3.3,0.058,10.9,3.0,0.42,2.8,-3.0,19.3,untested,reachable
AXS,binance,CoinEx,174,1433,59.7,0.71,7.9,-0.5,-5.4,0.481,10.9,3.1,0.4,3.0,-2.6,18.6,untested,blocked
HBAR,bitget,Orderly,270,1417,59.0,0.865,7.9,5.1,1.4,-0.103,10.9,3.0,0.42,2.8,-3.0,19.3,untested,reachable
AAPL,okx,Coinbase,105,1433,59.7,0.684,7.9,2.1,-3.5,-0.124,0.0,14.0,0.4,3.0,-2.6,18.6,untested,blocked
CBRS,bitget,Coinbase,270,1417,59.0,0.568,7.9,9.6,-16.6,0.892,0.0,-1.8,0.42,2.8,-3.1,19.4,untested,blocked
ESP,bitget,Bitunix,276,1437,59.9,0.612,7.9,6.3,0.0,0.145,-27.8,-31.2,0.42,2.8,-3.0,19.4,untested,blocked
CRCL,binance,Kraken,270,1417,59.0,0.545,7.7,-17.4,-47.1,0.848,0.0,-5.7,0.4,2.8,-2.7,19.0,untested,reachable
MANA,bitget,MEXC,139,1433,59.7,0.687,7.7,12.5,0.0,0.259,10.9,0.8,0.42,2.6,-3.3,20.0,untested,blocked
DOGE,KuCoin,dydx,1000,171,7.1,0.877,7.6,4.9,3.1,0.42,8.3,0.0,0.4,2.7,-2.9,19.3,reachable,untested
ENA,dydx,Bitunix,1000,175,7.3,0.72,7.6,12.0,-1.9,-0.626,8.3,5.3,0.4,2.7,-2.8,19.2,untested,blocked
ENA,dydx,Bitunix,1000,175,7.3,0.72,7.6,12.0,-1.9,-0.626,8.3,5.3,0.4,2.7,-2.8,19.2,untested,blocked
DOT,bitget,KuCoin,270,1417,59.0,0.655,7.6,4.6,0.0,0.142,10.9,3.4,0.42,2.4,-3.4,20.3,untested,reachable
BNB,hl,Deribit,2156,385,16.0,0.587,7.5,1.0,-8.7,-1.988,10.9,0.0,0.39,2.8,-2.6,18.9,untested,untested
BNB,hl,Deribit,2156,385,16.0,0.587,7.5,1.0,-8.7,-1.988,10.9,0.0,0.39,2.8,-2.6,18.9,untested,untested
ICP,hl,Orderly,686,481,20.0,0.811,7.5,3.4,2.6,0.125,10.9,2.0,0.39,2.8,-2.6,18.9,untested,reachable
COTI,aster,BingX,176,176,7.3,0.517,7.5,-72.9,-146.6,-11.238,-180.4,-142.4,0.38,2.9,-2.4,18.4,untested,reachable
ETHFI,binance,Coinbase,539,1421,59.2,0.871,7.4,15.5,5.7,0.193,10.9,3.5,0.4,2.6,-3.0,19.6,untested,blocked
INJ,bitget,LBank,270,169,7.0,0.805,7.4,8.2,1.4,1.992,10.9,3.6,0.42,2.3,-3.6,20.8,untested,blocked
EUR,dydx,Extended,1317,1440,60.0,0.595,7.4,-57.0,-104.2,-3.126,10.9,3.5,0.4,2.6,-3.0,19.6,untested,blocked
HYPE,MEXC,dydx,1000,175,7.3,0.743,7.3,1.9,0.0,1.481,10.9,0.0,0.4,2.5,-3.1,19.9,blocked,untested
SNDK,binance,Nado,270,1417,59.0,0.631,7.3,1.3,-12.4,0.049,0.0,-7.3,0.4,2.4,-3.2,20.1,untested,reachable
AVAX,aster,LBank,270,169,7.0,0.953,7.3,6.9,4.4,0.652,10.9,3.6,0.38,2.7,-2.6,18.9,untested,blocked
LINK,BitMEX,bybit,270,357,14.9,0.776,7.2,7.6,1.9,0.019,10.9,3.8,0.41,2.2,-3.5,20.8,reachable,untested
LINK,BitMEX,bybit,270,357,14.9,0.776,7.2,7.6,1.9,0.019,10.9,3.8,0.41,2.2,-3.5,20.8,reachable,untested
LINK,BitMEX,bybit,270,357,14.9,0.776,7.2,7.6,1.9,0.019,10.9,3.8,0.41,2.2,-3.5,20.8,reachable,untested
EVAA,BingX,bitget,360,1437,59.9,0.535,7.2,10.8,0.0,1.14,22.1,10.9,0.42,2.1,-3.7,21.2,reachable,untested
XPT,okx,Bitfinex,128,753,31.4,0.616,7.2,-57.6,0.0,-4.057,7.2,0.0,0.4,2.3,-3.3,20.4,untested,untested
BCH,hl,Bitunix,589,1433,59.7,0.763,7.2,4.5,2.4,0.119,10.9,3.8,0.39,2.5,-3.0,19.8,untested,blocked
BCH,hl,Bitunix,589,1433,59.7,0.763,7.2,4.5,2.4,0.119,10.9,3.8,0.39,2.5,-3.0,19.8,untested,blocked
BCH,hl,Bitunix,589,1433,59.7,0.763,7.2,4.5,2.4,0.119,10.9,3.8,0.39,2.5,-3.0,19.8,untested,blocked
HBAR,bitget,MEXC,270,1417,59.0,0.757,7.1,4.4,0.3,-0.041,10.9,3.8,0.42,2.0,-3.8,21.5,untested,blocked
JTO,okx,BingX,164,1437,59.9,0.618,7.0,3.6,0.0,0.021,10.9,3.9,0.4,2.1,-3.4,20.8,untested,reachable
KAITO,binance,BingX,164,1437,59.9,0.716,7.0,4.1,0.0,-0.305,10.9,3.9,0.4,2.1,-3.4,20.8,untested,reachable
TSLA,tradeXYZ,binance,270,1417,59.0,0.809,6.9,4.6,4.1,-0.074,6.9,0.0,0.4,2.0,-3.5,21.2,blocked,untested
AAVE,hl,Orderly,2156,1419,59.1,0.856,6.9,7.7,3.7,0.179,10.9,4.0,0.39,2.2,-3.2,20.5,untested,reachable
DOGE,bitget,Kraken,270,1417,59.0,0.805,6.8,4.3,1.8,0.068,10.9,4.1,0.42,1.7,-4.1,22.5,untested,reachable
JTO,hl,LBank,660,189,7.9,0.704,6.8,8.5,0.0,-1.519,10.9,6.8,0.39,2.0,-3.4,21.0,untested,blocked
SNXX,okx,Bitunix,150,969,40.4,0.818,6.8,13.1,1.2,-1.384,0.0,-2.8,0.4,1.9,-3.6,21.5,untested,blocked
ETH,hl,HTX,2156,1419,59.1,0.814,6.7,5.8,2.2,-0.14,10.9,4.2,0.39,2.0,-3.5,21.2,untested,reachable
ETH,hl,HTX,2156,1419,59.1,0.814,6.7,5.8,2.2,-0.14,10.9,4.2,0.39,2.0,-3.5,21.2,untested,reachable
ADA,aster,LBank,270,169,7.0,0.953,6.7,7.8,5.7,0.584,10.9,4.2,0.38,2.1,-3.2,20.7,untested,blocked
BTC,hl,Coinbase,2156,1426,59.4,0.84,6.6,5.1,3.8,-0.001,10.9,4.4,0.39,1.8,-3.6,21.7,untested,blocked
HBAR,bitget,Kraken,270,1417,59.0,0.746,6.5,6.0,-0.1,-0.097,10.9,4.5,0.42,1.4,-4.5,23.7,untested,reachable
JASMY,bybit,CoinEx,150,1433,59.7,0.569,6.3,-4.5,-18.3,0.008,10.9,0.3,0.41,1.3,-4.4,23.8,untested,blocked
LTC,ApeX,bybit,270,1417,59.0,0.797,6.2,7.5,1.7,-0.064,10.9,4.8,0.41,1.2,-4.5,24.3,blocked,untested
INX,aster,KuCoin,1269,1153,48.0,0.532,6.2,25.8,0.0,0.437,23.1,10.9,0.38,1.6,-3.7,22.2,untested,reachable
BTC,WhiteBIT,bybit,270,1417,59.0,0.762,6.1,4.7,0.5,-0.081,10.9,4.4,0.41,1.2,-4.5,24.4,reachable,untested
EUR,MEXC,dydx,1317,1437,59.9,0.637,6.1,55.1,-23.9,3.467,9.2,10.9,0.4,1.3,-4.3,23.8,blocked,untested
QQQ,Coinbase,binance,279,1417,59.0,0.825,6.1,7.2,2.9,-0.061,6.1,0.0,0.4,1.3,-4.3,23.8,blocked,untested
AMZN,bitget,Bitunix,270,1417,59.0,0.796,6.1,4.8,0.9,0.267,0.0,-4.9,0.42,1.0,-4.9,25.2,untested,blocked
LTC,Backpack,bybit,270,1417,59.0,0.785,6.0,7.3,1.5,-0.056,10.9,4.8,0.41,1.0,-4.7,24.8,reachable,untested
LINK,dydx,GRVT,1000,171,7.1,0.673,6.0,9.7,-1.5,0.928,4.1,1.9,0.4,1.2,-4.4,24.2,untested,blocked
TSLA,LBank,bybit,270,169,7.0,0.568,5.9,6.0,0.0,-4.029,6.7,0.0,0.41,0.9,-4.8,25.4,blocked,untested
SAMSUNG,Bitunix,okx,145,1433,59.7,0.514,5.9,38.2,-17.0,0.126,-6.3,0.0,0.4,1.1,-4.5,24.6,blocked,untested
BTC,Orderly,bybit,270,1417,59.0,0.813,5.8,3.4,0.0,0.07,11.0,4.4,0.41,0.8,-4.9,25.8,reachable,untested
SHAZ,bybit,Bitunix,168,993,41.4,0.799,5.8,32.2,2.8,-1.265,0.0,-5.7,0.41,0.8,-4.9,25.9,untested,blocked
ADA,aster,BingX,270,1417,59.0,0.649,5.8,3.9,0.0,0.14,10.9,-0.5,0.38,1.2,-4.1,23.8,untested,reachable
PAYP,aster,Bitunix,180,1433,59.7,0.916,5.8,12.6,0.9,0.043,0.0,-5.8,0.38,1.2,-4.1,24.0,untested,blocked
CL,bybit,Bitunix,466,1421,59.2,0.856,5.7,8.5,0.4,0.215,0.0,-6.2,0.41,0.7,-5.0,26.3,untested,blocked
DOGE,bitget,Coinbase,270,1417,59.0,0.897,5.7,5.3,4.1,0.002,10.9,5.3,0.42,0.6,-5.3,26.9,untested,blocked
BTC,BingX,dydx,1000,171,7.1,0.982,5.6,6.4,3.4,-0.372,5.3,0.0,0.4,0.7,-4.8,26.1,reachable,untested
ENA,okx,Orderly,552,1421,59.2,0.679,5.6,2.8,-3.1,0.211,10.9,5.3,0.4,0.7,-4.8,26.1,untested,reachable
AAVE,hl,Bitunix,2156,1419,59.1,0.67,5.6,5.3,0.0,0.185,10.9,5.3,0.39,0.9,-4.6,25.4,untested,blocked
AAVE,hl,Bitunix,2156,1419,59.1,0.67,5.6,5.3,0.0,0.185,10.9,5.3,0.39,0.9,-4.6,25.4,untested,blocked
AAVE,hl,Bitunix,2156,1419,59.1,0.67,5.6,5.3,0.0,0.185,10.9,5.3,0.39,0.9,-4.6,25.4,untested,blocked
BZ,bybit,Bitunix,270,1417,59.0,0.732,5.6,12.3,-1.5,0.473,0.0,-6.6,0.41,0.6,-5.1,26.7,untested,blocked
SAMSUNGEM,bybit,Bitunix,57,449,18.7,0.822,5.6,-1.6,0.5,0.253,0.0,-5.6,0.41,0.7,-5.0,26.5,untested,blocked
APT,aster,Backpack,270,1417,59.0,0.628,5.6,4.8,0.0,0.114,10.9,4.8,0.38,1.0,-4.3,24.7,untested,reachable
AVAX,bitget,MEXC,270,1417,59.0,0.807,5.6,5.2,0.5,0.085,9.4,0.4,0.42,0.5,-5.4,27.5,untested,blocked
SOXL,tradeXYZ,binance,270,617,25.7,0.728,5.5,4.0,-2.3,0.244,5.5,0.0,0.4,0.6,-5.0,26.7,blocked,untested
TSM,tradeXYZ,binance,120,1433,59.7,0.891,5.5,7.2,5.5,-0.043,5.5,0.0,0.4,0.6,-5.0,26.7,blocked,untested
WDC,tradeXYZ,binance,161,1433,59.7,0.681,5.5,5.7,-4.6,0.008,5.5,0.0,0.4,0.6,-5.0,26.7,blocked,untested
BTC,hl,Kraken,2156,1426,59.4,0.745,5.5,3.3,-0.1,-0.018,10.9,5.4,0.39,0.8,-4.6,25.7,untested,reachable
BTC,hl,Kraken,2156,1426,59.4,0.745,5.5,3.3,-0.1,-0.018,10.9,5.4,0.39,0.8,-4.6,25.7,untested,reachable
EWT,bybit,BingX,180,745,31.0,0.538,5.5,-0.7,-10.9,-0.226,0.0,-5.5,0.41,0.5,-5.2,27.3,untested,reachable
QQQ,bybit,Bitunix,270,1417,59.0,0.797,5.5,6.6,0.3,0.004,0.0,-1.8,0.41,0.5,-5.2,27.4,untested,blocked
LDO,dydx,Crypto.com,1000,178,7.4,0.545,5.4,7.2,-13.2,2.404,0.0,-5.4,0.4,0.6,-5.0,26.8,untested,reachable
SOXL,bybit,Bitunix,270,1417,59.0,0.813,5.4,9.0,0.6,-0.383,0.0,-2.8,0.41,0.4,-5.3,27.9,untested,blocked
MAGMA,aster,LBank,2160,787,32.8,0.53,5.4,24.8,0.0,-0.355,46.3,21.0,0.38,0.7,-4.5,25.9,untested,blocked
LDO,hl,Orderly,589,385,16.0,1.0,5.3,6.7,2.8,-0.274,10.9,5.9,0.39,0.5,-4.9,27.0,untested,reachable
BCH,hl,MEXC,589,1433,59.7,0.819,5.3,4.0,4.7,0.029,10.9,5.7,0.39,0.5,-4.9,27.1,untested,blocked
