coin,short_venue,long_venue,long_leg_n,hours,days,pos_frac,median_spread_apr,mean_spread_apr,p25_spread_apr,slope_apr_pts_day,short_leg_median_apr,long_leg_median_apr,rt_stress_pct,net_apr_30d_pct,net_apr_14d_pct,breakeven_days,short_venue_reachable,long_venue_reachable
ACE,bybit,BingX,589,1421,59.2,0.175,0.0,-156.2,-108.5,-6.902,-35.0,10.9,0.41,-5.0,-10.7,,untested,reachable
ACE,binance,Bitunix,589,1421,59.2,0.402,0.0,-125.3,-6.4,-6.287,-91.1,-57.5,0.4,-4.9,-10.4,,untested,blocked
ACE,binance,MEXC,589,1421,59.2,0.281,0.0,-118.2,-0.2,-6.106,-91.1,-69.9,0.4,-4.9,-10.4,,untested,blocked
ACE,bybit,KuCoin,589,1137,47.4,0.377,0.0,-183.3,-148.8,-7.249,-106.5,-20.6,0.41,-5.0,-10.7,,untested,reachable
HOME,bybit,BingX,476,1437,59.9,0.467,0.0,-93.1,-42.2,5.788,-66.3,-83.7,0.41,-5.0,-10.7,,untested,reachable
HOME,bybit,WhiteBIT,476,1437,59.9,0.24,0.0,-179.0,-188.6,6.382,-66.3,10.9,0.41,-5.0,-10.7,,untested,reachable
HOME,bybit,KuCoin,476,1153,48.0,0.397,0.0,-104.7,-78.5,9.809,-120.1,-154.4,0.41,-5.0,-10.7,,untested,reachable
HOME,bybit,Variational,476,801,33.4,0.514,0.0,3.4,-11.0,-0.654,-147.4,-151.8,0.41,-5.0,-10.7,1.0084220093627886e+17,untested,blocked
JUP,bybit,Nado,540,1421,59.2,0.274,-0.0,0.6,-0.0,-0.094,10.9,11.0,0.41,-5.0,-10.7,,untested,reachable
JUP,bybit,BingX,540,1421,59.2,0.138,0.0,-1.7,0.0,-0.158,10.9,10.9,0.41,-5.0,-10.7,,untested,reachable
JUP,bybit,Bitunix,540,1421,59.2,0.172,0.0,-2.5,0.0,-0.02,10.9,10.9,0.41,-5.0,-10.7,,untested,blocked
JUP,bybit,HTX,540,1421,59.2,0.0,0.0,-4.2,-2.0,0.064,10.9,10.9,0.41,-5.0,-10.7,,untested,reachable
JUP,bybit,MEXC,540,1421,59.2,0.203,0.0,-1.0,0.0,-0.16,10.9,10.9,0.41,-5.0,-10.7,,untested,blocked
JUP,bybit,WhiteBIT,540,1421,59.2,0.0,0.0,-4.2,-2.0,0.064,10.9,10.9,0.41,-5.0,-10.7,,untested,reachable
JUP,bybit,KuCoin,540,1137,47.4,0.103,0.0,-2.4,0.0,0.285,10.9,10.9,0.41,-5.0,-10.7,,untested,reachable
JUP,binance,LBank,539,173,7.2,0.139,0.0,0.1,0.0,0.067,10.9,10.9,0.4,-4.9,-10.4,,untested,blocked
MSTR,binance,GRVT,270,1417,59.0,0.221,0.0,-9.0,-8.2,0.684,0.0,0.0,0.4,-4.9,-10.4,,untested,blocked
MSTR,binance,LBank,270,785,32.7,0.297,0.0,3.0,0.0,0.016,0.0,0.0,0.4,-4.9,-10.4,,untested,blocked
MSTR,binance,MEXC,270,169,7.0,0.337,0.0,-0.4,0.0,-0.394,0.0,0.0,0.4,-4.9,-10.4,,untested,blocked
