kind,check_name,coin,detail,entry_cost_pct,fee_bps,fill_id,fill_px,leg,long_venue,median_apr,notional_usd,pair,passed,pos_id,reason_close,reason_open,short_venue,side,simulated,size_usd,slip_bps,status,style,tid,ts,ts_close,ts_open,venue
tripwire,duplicate,,already open,,,,,,,,,UAI aster->binance,0,,,,,,,,,,,57,2026-09-02T19:50:10Z,,,
tripwire,duplicate,,already open,,,,,,,,,INJ bingx->okx,0,,,,,,,,,,,58,2026-09-02T19:50:10Z,,,
tripwire,identity-marks,,short mid 11.08 vs long mid 11.08 dev 0.02%,,,,,,,,,LINK nado->okx,1,,,,,,,,,,,59,2026-09-02T19:50:10Z,,,
tripwire,depth-25bps@size,,worst slip 1.0bps (sell 0.5/0.5 buy 1.0/0.5),,,,,,,,,LINK nado->okx,1,,,,,,,,,,,60,2026-09-02T19:50:10Z,,,
tripwire,live-spread>=40%median,,live -0.0% vs median 13.5%,,,,,,,,,LINK nado->okx,0,,,,,,,,,,,61,2026-09-02T19:50:10Z,,,
tripwire,identity-marks,,short mid 509.8 vs long mid 509.4 dev 0.07%,,,,,,,,,XMR dydx->binance,1,,,,,,,,,,,62,2026-09-03T04:56:20Z,,,
tripwire,depth-25bps@size,,worst slip 20.6bps (sell 20.6/20.6 buy 0.8/0.1),,,,,,,,,XMR dydx->binance,1,,,,,,,,,,,63,2026-09-03T04:56:20Z,,,
tripwire,live-spread>=40%median,,live -11.0% vs median 97.7%,,,,,,,,,XMR dydx->binance,0,,,,,,,,,,,64,2026-09-03T04:56:20Z,,,
tripwire,identity-marks,,short mid 0.4617 vs long mid 0.4614 dev 0.07%,,,,,,,,,BTW aster->bitget,1,,,,,,,,,,,65,2026-09-03T04:56:20Z,,,
tripwire,depth-25bps@size,,worst slip 8.2bps (sell 6.4/5.2 buy 7.9/8.2),,,,,,,,,BTW aster->bitget,1,,,,,,,,,,,66,2026-09-03T04:56:20Z,,,
tripwire,live-spread>=40%median,,live 77.6% vs median 86.6%,,,,,,,,,BTW aster->bitget,1,,,,,,,,,,,67,2026-09-03T04:56:20Z,,,
tripwire,m2-chain,,v3 chain verdict FAIL,,,,,,,,,BTW aster->bitget,0,,,,,,,,,,,68,2026-09-03T04:56:28Z,,,
tripwire,duplicate,,already open,,,,,,,,,UAI aster->binance,0,,,,,,,,,,,69,2026-09-03T04:56:28Z,,,
tripwire,duplicate,,already open,,,,,,,,,INJ bingx->okx,0,,,,,,,,,,,70,2026-09-03T04:56:28Z,,,
tripwire,identity-marks,,short mid 11.24 vs long mid 11.23 dev 0.04%,,,,,,,,,LINK nado->okx,1,,,,,,,,,,,71,2026-09-03T04:56:28Z,,,
tripwire,depth-25bps@size,,worst slip 0.4bps (sell 0.4/0.4 buy 0.4/0.4),,,,,,,,,LINK nado->okx,1,,,,,,,,,,,72,2026-09-03T04:56:28Z,,,
tripwire,live-spread>=40%median,,live -0.0% vs median 13.5%,,,,,,,,,LINK nado->okx,0,,,,,,,,,,,73,2026-09-03T04:56:28Z,,,
