venue,symbol,market,asset_class,mechanism,rate,interval_h,apr,oi_usd,stale,suspect
hyperliquid,COPPER,xyz:COPPER,commodity,builder_set,1.8373e-06,1.0,0.016094748,20197140.77214,False,False
orderly,COPPER,PERP_COPPER_USDC_mythos,commodity,standard,9.974e-05,8.0,0.1092153,4978.0596000000005,False,False
pacifica,COPPER,COPPER,commodity,standard,1.25e-05,1.0,0.1095,58442.20310106,False,False
aster,COST,COSTUSDT,equity,standard,0.0,8.0,0.0,95541.3204917994,False,False
binance,COST,COSTUSDT,equity,standard,0.0,8.0,0.0,806497.913336292,False,False
bitget,COST,COSTUSDT,equity,standard,0.0,8.0,0.0,381148.7666999996,False,False
bybit,COST,COSTUSDT,equity,standard,0.0,8.0,0.0,135893.5215,False,False
gate,COST,COST_USDT,equity,standard,0.0,8.0,0.0,153922.47911999997,False,False
hyperliquid,COST,xyz:COST,equity,builder_set,6.25e-06,1.0,0.05475,311400.992168,False,False
okx,COST,COST-USDT-SWAP,equity,standard,0.0,8.0,0.0,224532.18407999995,False,False
ostium,COST,COST,equity,funding_plus_borrow,0.0,1.0,0.0,10.30268187836452,False,False
bitget,CPNG,CPNGUSDT,equity,standard,0.0,8.0,0.0,60813.74748000002,False,False
gate,CPNG,CPNG_USDT,equity,standard,0.0,8.0,0.0,22468.3712,False,False
apex,CRCL,CRCL-USDT,equity,standard,1.25e-05,1.0,0.1095,82925.481,False,False
aster,CRCL,CRCLUSDT,equity,standard,0.00014332,8.0,0.1569354,1162144.4242285676,False,False
avantis,CRCL,CRCL/USD,equity,funding_plus_borrow,0.0,1.0,0.0,1000.0,False,False
binance,CRCL,CRCLUSDT,equity,standard,0.00013683,8.0,0.14982885,80114599.11585017,False,False
bitget,CRCL,CRCLUSDT,equity,standard,0.000158,8.0,0.17301,11546752.493999993,False,False
bybit,CRCL,CRCLUSDT,equity,standard,7.528e-05,8.0,0.0824316,6320375.2384,False,False
coinbase,CRCL,CRCL-PERP,equity,standard,2.2e-05,1.0,0.19272,805849.1651,False,False
gate,CRCL,CRCLX_USDT,equity,standard,0.0,8.0,0.0,6881363.297199999,False,False
gate,CRCL,CRCL_USDT,equity,standard,0.0,8.0,0.0,0.0,False,False
