coin,long,short,gross_apr,net7,net30,iv_short,iv_long,vol_min,flag
DASH,binance,bybit,0.0684,-0.0411,0.0429,8.0,8,-1,
RAM,bybit,binance,0.0684,-0.0411,0.0429,8,8.0,-1,
SUI,gate,hl,0.0657,-0.0334,0.0426,1.0,8,-1,
ICP,gate,hl,0.0657,-0.0334,0.0426,1.0,8,-1,
DASH,binance,bitget,0.0684,-0.0463,0.0417,8,8,-1,
ICP,gate,binance,0.0657,-0.0386,0.0414,8,8,-1,
GLW,gate,binance,0.0657,-0.0386,0.0414,8,8,-1,
ZEC,bitget,aster,0.0657,-0.0386,0.0414,1,8,12446512.73,
PAXG,bitget,binance,0.0678,-0.0470,0.0410,4,4,-1,
PENDLE,binance,bybit,0.0660,-0.0435,0.0405,8.0,8,-1,
BTC,bybit,aster,0.0633,-0.0358,0.0402,8,8.0,-1,
XMR,hl,binance,0.0633,-0.0358,0.0402,8,1.0,-1,
HANMI,binance,gate,0.0645,-0.0398,0.0402,8,8,-1,
GLW,gate,bybit,0.0657,-0.0438,0.0402,8.0,8,-1,
GOOGL,bitget,bybit,0.0680,-0.0519,0.0400,8.0,8,-1,
BTC,bybit,binance,0.0649,-0.0446,0.0394,8,8.0,-1,
BZ,bybit,gate,0.0647,-0.0448,0.0392,8,8.0,-1,
BNB,binance,hl,0.0623,-0.0368,0.0391,1.0,8,-1,
SHOP,binance,gate,0.0634,-0.0409,0.0390,8,8,-1,
HANMI,binance,bybit,0.0645,-0.0450,0.0390,8.0,8,-1,
DEXE,binance,gate,0.0628,-0.0415,0.0384,8,4,-1,
BTC,bybit,gate,0.0636,-0.0459,0.0381,8,8.0,-1,
SHOP,binance,bybit,0.0634,-0.0461,0.0378,8.0,8,-1,
XMR,bybit,binance,0.0633,-0.0462,0.0377,8,8.0,-1,
ZEC,bitget,bybit,0.0657,-0.0542,0.0377,8.0,8,-1,
XMR,bitget,binance,0.0633,-0.0514,0.0365,8,8,-1,
XRP,aster,hl,0.0571,-0.0315,0.0364,1.0,8,31157446.79,
ATOM,gate,bybit,0.0618,-0.0477,0.0363,8.0,8,-1,
CRWV,gate,binance,0.0602,-0.0441,0.0359,8,8,-1,
BNB,binance,bitget,0.0623,-0.0525,0.0355,8,8,-1,
XRP,aster,okx,0.0571,-0.0368,0.0352,8,8,-1,
CRWV,gate,bybit,0.0602,-0.0493,0.0347,8.0,8,-1,
TIA,binance,bybit,0.0601,-0.0494,0.0345,4.0,4,-1,
ZEC,binance,bitget,0.0612,-0.0535,0.0344,8,8,-1,
XRP,aster,bitget,0.0571,-0.0472,0.0328,8,8,31157446.79,
SKHYNIX,binance,aster,0.0545,-0.0393,0.0326,4,4,-1,
SOL,aster,gate,0.0543,-0.0395,0.0324,8,8,-1,
META,bybit,binance,0.0579,-0.0516,0.0323,8,8.0,-1,
XVS,bybit,binance,0.0577,-0.0518,0.0321,8,8.0,-1,
RENDER,gate,hl,0.0548,-0.0443,0.0316,1.0,8,-1,
ZRO,gate,hl,0.0548,-0.0443,0.0316,1.0,8,-1,
WIF,gate,hl,0.0548,-0.0443,0.0316,1.0,8,-1,
GAS,gate,hl,0.0548,-0.0443,0.0316,1.0,8,-1,
ENA,okx,hl,0.0548,-0.0443,0.0316,1.0,8,-1,
ENA,gate,hl,0.0548,-0.0443,0.0316,1.0,8,-1,
GRAM,gate,hl,0.0548,-0.0443,0.0316,1.0,8,-1,
VVV,gate,hl,0.0548,-0.0443,0.0316,1.0,8,-1,
TAO,gate,hl,0.0548,-0.0443,0.0316,1.0,8,-1,
BSV,gate,hl,0.0548,-0.0443,0.0316,1.0,8,-1,
TRB,gate,hl,0.0548,-0.0443,0.0316,1.0,8,-1,
SUI,okx,hl,0.0547,-0.0444,0.0316,1.0,8,-1,
TIA,gate,hl,0.0542,-0.0448,0.0311,1.0,8,-1,
RENDER,gate,binance,0.0548,-0.0495,0.0304,4,8,-1,
WIF,gate,binance,0.0548,-0.0495,0.0304,4,8,-1,
CLANKER,gate,binance,0.0548,-0.0495,0.0304,4,8,-1,
GAS,gate,binance,0.0548,-0.0495,0.0304,4,8,-1,
ORCA,gate,binance,0.0548,-0.0495,0.0304,4,8,-1,
GRAM,gate,binance,0.0548,-0.0495,0.0304,4,8,-1,
VVV,gate,binance,0.0548,-0.0495,0.0304,4,8,-1,
TAO,gate,binance,0.0548,-0.0495,0.0304,4,8,-1,
EUL,gate,binance,0.0548,-0.0495,0.0304,4,8,-1,
PROM,gate,binance,0.0548,-0.0495,0.0304,4,8,-1,
OG,gate,binance,0.0548,-0.0495,0.0304,4,8,-1,
BSV,gate,binance,0.0548,-0.0495,0.0304,4,8,-1,
TRB,gate,binance,0.0548,-0.0495,0.0304,4,8,-1,
QQQ,bybit,binance,0.0557,-0.0538,0.0302,8,8.0,-1,
TAO,gate,bybit,0.0553,-0.0542,0.0298,4.0,8,-1,
ETC,hl,bybit,0.0537,-0.0506,0.0294,8.0,1.0,-1,
ZRO,gate,bybit,0.0548,-0.0548,0.0292,4.0,8,-1,
WIF,gate,bybit,0.0548,-0.0548,0.0292,4.0,8,-1,
METIS,gate,bybit,0.0548,-0.0548,0.0292,4.0,8,-1,
GAS,gate,bybit,0.0548,-0.0548,0.0292,4.0,8,-1,
GIGGLE,gate,bybit,0.0548,-0.0548,0.0292,4.0,8,-1,
ORCA,gate,bybit,0.0548,-0.0548,0.0292,4.0,8,-1,
ENA,okx,bybit,0.0548,-0.0548,0.0292,4.0,8,-1,
ENA,gate,bybit,0.0548,-0.0548,0.0292,4.0,8,-1,
GRAM,gate,bybit,0.0548,-0.0548,0.0292,4.0,8,-1,
VVV,gate,bybit,0.0548,-0.0548,0.0292,4.0,8,-1,
OPENAI,bybit,binance,0.0548,-0.0548,0.0292,8,8.0,-1,
EUL,gate,bybit,0.0548,-0.0548,0.0292,4.0,8,-1,
DEXE,gate,bybit,0.0548,-0.0548,0.0292,4.0,8,-1,
OG,gate,bybit,0.0548,-0.0548,0.0292,8.0,8,-1,
BSV,gate,bybit,0.0548,-0.0548,0.0292,4.0,8,-1,
TRB,gate,bybit,0.0548,-0.0548,0.0292,4.0,8,-1,
ANTHROPIC,bybit,binance,0.0548,-0.0548,0.0292,8,8.0,-1,
QQQ,bitget,binance,0.0557,-0.0590,0.0289,8,8,-1,
TRUMP,binance,bitget,0.0551,-0.0597,0.0283,4,4,-1,
AAVE,gate,bybit,0.0536,-0.0559,0.0280,8.0,8,-1,
ENA,okx,bitget,0.0548,-0.0600,0.0280,4,8,-1,
ENA,gate,bitget,0.0548,-0.0600,0.0280,4,8,-1,
GRAM,gate,bitget,0.0548,-0.0600,0.0280,4,8,-1,
TAO,gate,bitget,0.0548,-0.0600,0.0280,4,8,-1,
PROM,gate,bitget,0.0548,-0.0600,0.0280,4,8,-1,
HOOD,bybit,binance,0.0529,-0.0566,0.0274,8,8.0,-1,
ENA,okx,binance,0.0508,-0.0535,0.0264,4,8,-1,
ENA,gate,binance,0.0508,-0.0535,0.0264,4,8,-1,
BZ,bitget,bybit,0.0535,-0.0664,0.0256,8.0,4,-1,
JPM,gate,binance,0.0493,-0.0550,0.0249,8,8,-1,
AAVE,gate,binance,0.0493,-0.0550,0.0249,8,8,-1,
JPM,gate,bybit,0.0493,-0.0602,0.0237,8.0,8,-1,
APT,bybit,hl,0.0475,-0.0568,0.0232,1.0,8.0,-1,
APT,bybit,gate,0.0486,-0.0609,0.0230,8,8.0,-1,
CRM,binance,gate,0.0472,-0.0571,0.0228,8,8,-1,
ADA,binance,bitget,0.0494,-0.0653,0.0227,8,8,-1,
XAUT,bybit,gate,0.0482,-0.0613,0.0226,8,4.0,-1,
ETH,bybit,hl,0.0469,-0.0574,0.0226,1.0,8.0,-1,
MUU,bybit,binance,0.0476,-0.0619,0.0221,8,8.0,-1,
CRM,binance,bybit,0.0472,-0.0623,0.0216,8.0,8,-1,
BCH,bybit,hl,0.0459,-0.0584,0.0215,1.0,8.0,-1,
ETH,bybit,gate,0.0469,-0.0626,0.0214,8,8.0,-1,
LTC,gate,bybit,0.0469,-0.0626,0.0214,8.0,8,-1,
SUI,binance,hl,0.0444,-0.0547,0.0212,1.0,8,-1,
BCH,bybit,binance,0.0459,-0.0636,0.0203,8,8.0,-1,
TRUMP,bybit,gate,0.0456,-0.0639,0.0201,8,4.0,-1,
CL,bitget,gate,0.0460,-0.0687,0.0192,8,4,-1,
ETH,bybit,bitget,0.0469,-0.0730,0.0189,8,8.0,-1,
XRP,gate,aster,0.0404,-0.0535,0.0185,8,8,-1,
APT,binance,bybit,0.0437,-0.0658,0.0181,8.0,8,-1,
BCH,bybit,bitget,0.0459,-0.0741,0.0179,8,8.0,-1,
KSM,gate,binance,0.0416,-0.0627,0.0173,8,8,-1,
AAVE,gate,bitget,0.0438,-0.0709,0.0170,8,8,-1,
SOL,gate,bitget,0.0438,-0.0709,0.0170,8,8,-1,
KSM,gate,bybit,0.0416,-0.0679,0.0161,8.0,8,-1,
ZEC,hl,aster,0.0365,-0.0521,0.0159,1,1.0,12446512.73,
ETH,bybit,aster,0.0372,-0.0619,0.0141,8,8.0,-1,
BNB,bybit,aster,0.0369,-0.0621,0.0138,8,8.0,-1,
BCH,gate,bybit,0.0385,-0.0710,0.0129,8.0,8,-1,
ZEC,hl,bybit,0.0365,-0.0677,0.0122,8.0,1.0,-1,
FET,binance,hl,0.0351,-0.0639,0.0120,1.0,8,-1,
SPCX,binance,aster,0.0334,-0.0605,0.0115,8,8,-1,
ETH,binance,hl,0.0346,-0.0645,0.0115,1.0,8,-1,
APT,bitget,binance,0.0381,-0.0766,0.0113,8,8,-1,
FET,binance,gate,0.0351,-0.0691,0.0108,8,8,-1,
XAG,binance,gate,0.0350,-0.0692,0.0107,8,4,-1,
ADA,bitget,hl,0.0361,-0.0734,0.0106,1.0,8,4486784.045330001,
ETH,binance,gate,0.0346,-0.0697,0.0102,8,8,-1,
TRUMP,okx,gate,0.0341,-0.0702,0.0097,8,8,-1,
ADA,bitget,okx,0.0361,-0.0786,0.0094,8,8,-1,
ADA,bitget,gate,0.0361,-0.0786,0.0094,8,8,-1,
MORPHO,gate,binance,0.0336,-0.0707,0.0092,4,8,-1,
ETH,binance,bitget,0.0346,-0.0801,0.0078,8,8,-1,
BNB,gate,aster,0.0296,-0.0643,0.0077,8,8,-1,
ETH,bybit,dydx,0.0330,-0.0765,0.0075,1.0,8.0,-1,
XRP,binance,aster,0.0280,-0.0658,0.0061,8,8,-1,
PLTR,bybit,binance,0.0316,-0.0779,0.0060,8,8.0,-1,
ZRO,binance,gate,0.0302,-0.0740,0.0059,8,4,-1,
SAMSUNG,bybit,binance,0.0311,-0.0784,0.0056,4,8.0,-1,
SUI,bitget,binance,0.0312,-0.0835,0.0044,8,8,-1,
INJ,bybit,hl,0.0283,-0.0759,0.0040,1.0,8.0,-1,
ZEC,bitget,hl,0.0292,-0.0803,0.0036,1.0,8,166124448.399,
CL,aster,binance,0.0249,-0.0689,0.0030,4,4,-1,
ETH,binance,aster,0.0248,-0.0690,0.0029,8,8,-1,
BTC,dydx,bybit,0.0284,-0.0811,0.0028,8.0,1.0,-1,
INJ,bybit,binance,0.0283,-0.0812,0.0028,8,8.0,-1,
XAG,binance,aster,0.0238,-0.0701,0.0019,4,4,-1,
ATOM,binance,gate,0.0251,-0.0792,0.0008,8,8,-1,
INJ,bybit,bitget,0.0283,-0.0916,0.0004,8,8.0,-1,
STXX,binance,bybit,0.0253,-0.0842,-0.0002,8.0,8,-1,
ZEC,gate,binance,0.0231,-0.0812,-0.0012,8,8,-1,
SOL,binance,aster,0.0201,-0.0738,-0.0018,8,8,-1,
AVAX,hl,binance,0.0209,-0.0781,-0.0022,8,1.0,-1,
INJ,bybit,gate,0.0229,-0.0866,-0.0027,8,8.0,-1,
BTC,aster,hl,0.0178,-0.0708,-0.0028,1.0,8,754504620.96,
SUI,gate,binance,0.0213,-0.0829,-0.0030,8,8,-1,
ETH,binance,dydx,0.0207,-0.0836,-0.0036,1.0,8,-1,
OP,okx,hl,0.0187,-0.0804,-0.0044,1.0,8,-1,
DOGE,okx,hl,0.0180,-0.0811,-0.0051,1.0,8,-1,
LINK,binance,hl,0.0177,-0.0814,-0.0054,1.0,8,-1,
BTC,gate,hl,0.0175,-0.0816,-0.0056,1.0,8,-1,
OP,okx,binance,0.0187,-0.0856,-0.0056,8,8,-1,
OP,okx,gate,0.0187,-0.0856,-0.0056,8,8,-1,
SUI,bitget,okx,0.0209,-0.0938,-0.0059,8,8,-1,
DOGE,okx,binance,0.0180,-0.0863,-0.0064,8,8,-1,
DOGE,okx,gate,0.0180,-0.0863,-0.0064,8,8,-1,
BTC,aster,bitget,0.0178,-0.0864,-0.0065,8,8,754504620.96,
LINK,binance,gate,0.0177,-0.0866,-0.0066,8,8,-1,
HYPE,aster,hl,0.0140,-0.0747,-0.0067,1.0,4,41903794.46,
OP,okx,bybit,0.0187,-0.0908,-0.0069,8.0,8,-1,
BTC,binance,hl,0.0162,-0.0828,-0.0069,1.0,8,-1,
TRX,gate,bitget,0.0197,-0.0950,-0.0071,8,8,-1,
SOL,hl,aster,0.0135,-0.0752,-0.0072,8,1.0,106827561.95,
DOGE,okx,bybit,0.0180,-0.0915,-0.0076,8.0,8,-1,
NAVER,binance,gate,0.0166,-0.0877,-0.0078,8,8,-1,
MRVL,bybit,binance,0.0178,-0.0917,-0.0078,8,8.0,-1,
HYPE,aster,binance,0.0140,-0.0799,-0.0079,4,4,-1,
OP,okx,bitget,0.0187,-0.0960,-0.0081,8,8,-1,
AVAX,bybit,bitget,0.0198,-0.1002,-0.0082,8,8.0,-1,
DOGE,okx,bitget,0.0180,-0.0967,-0.0088,8,8,-1,
NAVER,binance,bybit,0.0166,-0.0929,-0.0090,8.0,8,-1,
LINK,binance,bitget,0.0177,-0.0970,-0.0090,8,8,-1,
ETH,dydx,hl,0.0139,-0.0852,-0.0092,1.0,1.0,3710873.0309,
BTC,gate,bitget,0.0175,-0.0972,-0.0092,8,8,-1,
MSTR,bybit,binance,0.0156,-0.0939,-0.0099,8,8.0,-1,
DOGE,okx,aster,0.0115,-0.0823,-0.0104,8,8,-1,
ETH,dydx,gate,0.0139,-0.0904,-0.0105,8,1.0,-1,
BTC,binance,bitget,0.0162,-0.0985,-0.0105,8,8,-1,
XAG,aster,gate,0.0113,-0.0826,-0.0106,8,4,-1,
BZ,gate,binance,0.0136,-0.0907,-0.0108,4,8,-1,
ETH,aster,hl,0.0097,-0.0789,-0.0109,1.0,8,492424993.55,
MSTR,bitget,binance,0.0156,-0.0991,-0.0111,8,8,-1,
VST,binance,bybit,0.0143,-0.0952,-0.0113,8.0,8,-1,
XRP,gate,binance,0.0123,-0.0920,-0.0120,8,8,-1,
ETH,aster,gate,0.0097,-0.0841,-0.0122,8,8,-1,
ETH,dydx,bitget,0.0139,-0.1008,-0.0129,8,1.0,3710873.0309,
ETH,bybit,binance,0.0124,-0.0971,-0.0132,8,8.0,-1,
SUI,gate,okx,0.0110,-0.0933,-0.0133,8,8,-1,
TRUMP,bybit,okx,0.0116,-0.0979,-0.0140,8,4.0,-1,
SUI,okx,binance,0.0103,-0.0940,-0.0140,8,8,-1,
DOGE,aster,hl,0.0064,-0.0822,-0.0142,1.0,8,6903991.3156,
PAXG,binance,bybit,0.0111,-0.0984,-0.0145,4.0,4,-1,
ETH,aster,bitget,0.0097,-0.0945,-0.0146,8,8,492424993.55,
DOT,bybit,hl,0.0096,-0.0947,-0.0148,1.0,8.0,-1,
DOGE,aster,binance,0.0064,-0.0874,-0.0155,8,8,-1,
DOGE,aster,gate,0.0064,-0.0874,-0.0155,8,8,-1,
XAU,binance,aster,0.0057,-0.0882,-0.0162,4,4,-1,
SOL,binance,hl,0.0066,-0.0925,-0.0165,1.0,8,-1,
DOGE,aster,bybit,0.0064,-0.0926,-0.0167,8.0,8,-1,
SAMSUNGEM,gate,bybit,0.0088,-0.1007,-0.0168,8.0,8,-1,
XAU,gate,aster,0.0051,-0.0888,-0.0168,4,8,-1,
SUI,bitget,gate,0.0099,-0.1049,-0.0169,8,8,-1,
INJ,gate,hl,0.0055,-0.0936,-0.0176,1.0,8,-1,
ETH,dydx,aster,0.0041,-0.0897,-0.0178,8,1.0,3710873.0309,
DOGE,aster,bitget,0.0064,-0.0978,-0.0179,8,8,9512115.35,
BNB,bybit,gate,0.0074,-0.1021,-0.0182,8,8.0,-1,
AAVE,bitget,bybit,0.0098,-0.1102,-0.0182,8.0,8,-1,
ICP,bybit,gate,0.0072,-0.1023,-0.0184,8,8.0,-1,
DOT,bybit,bitget,0.0096,-0.1104,-0.0184,8,8.0,-1,
INJ,gate,binance,0.0055,-0.0988,-0.0189,8,8,-1,
ENA,binance,hl,0.0040,-0.0951,-0.0191,1.0,4,-1,
SPCX,bybit,gate,0.0053,-0.1042,-0.0203,8,8.0,-1,
BTC,aster,binance,0.0016,-0.0922,-0.0203,8,8,-1,
HYPE,bybit,gate,0.0050,-0.1045,-0.0206,8,8.0,-1,
AAVE,binance,bybit,0.0043,-0.1052,-0.0213,8.0,8,-1,
INJ,gate,bitget,0.0055,-0.1092,-0.0213,8,8,-1,
AAVE,bitget,binance,0.0055,-0.1093,-0.0213,8,8,-1,
ENA,binance,bybit,0.0040,-0.1055,-0.0216,4.0,4,-1,
BTC,aster,gate,0.0003,-0.0935,-0.0216,8,8,-1,
APT,hl,gate,0.0011,-0.0980,-0.0221,8,1.0,-1,
SPCX,bybit,bitget,0.0053,-0.1147,-0.0227,8,8.0,-1,
ENA,binance,bitget,0.0040,-0.1107,-0.0228,4,4,-1,
BTC,gate,binance,0.0013,-0.1030,-0.0230,8,8,-1,
RENDER,hl,binance,0.0000,-0.0991,-0.0231,4,1.0,-1,
BCH,hl,binance,0.0000,-0.0991,-0.0231,8,1.0,-1,
NEAR,hl,binance,0.0000,-0.0991,-0.0231,8,1.0,-1,
NEAR,hl,gate,0.0000,-0.0991,-0.0231,8,1.0,-1,
COMP,hl,binance,0.0000,-0.0991,-0.0231,8,1.0,-1,
COMP,hl,gate,0.0000,-0.0991,-0.0231,8,1.0,-1,
WIF,hl,binance,0.0000,-0.0991,-0.0231,4,1.0,-1,
BANANA,hl,binance,0.0000,-0.0991,-0.0231,4,1.0,-1,
BANANA,hl,gate,0.0000,-0.0991,-0.0231,8,1.0,-1,
GAS,hl,binance,0.0000,-0.0991,-0.0231,4,1.0,-1,
GRAM,hl,binance,0.0000,-0.0991,-0.0231,4,1.0,-1,
VVV,hl,binance,0.0000,-0.0991,-0.0231,4,1.0,-1,
DOGE,hl,binance,0.0000,-0.0991,-0.0231,8,1.0,-1,
DOGE,hl,gate,0.0000,-0.0991,-0.0231,8,1.0,-1,
AR,hl,binance,0.0000,-0.0991,-0.0231,8,1.0,-1,
AR,hl,gate,0.0000,-0.0991,-0.0231,8,1.0,-1,
JUP,hl,binance,0.0000,-0.0991,-0.0231,4,1.0,-1,
TAO,hl,binance,0.0000,-0.0991,-0.0231,4,1.0,-1,
ADA,hl,okx,0.0000,-0.0991,-0.0231,8,1.0,-1,
ADA,hl,gate,0.0000,-0.0991,-0.0231,8,1.0,-1,
ARB,hl,binance,0.0000,-0.0991,-0.0231,8,1.0,-1,
ARB,hl,gate,0.0000,-0.0991,-0.0231,8,1.0,-1,
GMX,hl,gate,0.0000,-0.0991,-0.0231,8,1.0,-1,
UNI,hl,binance,0.0000,-0.0991,-0.0231,8,1.0,-1,
UNI,hl,gate,0.0000,-0.0991,-0.0231,8,1.0,-1,
XRP,hl,okx,0.0000,-0.0991,-0.0231,8,1.0,-1,
NEO,hl,binance,0.0000,-0.0991,-0.0231,8,1.0,-1,
NEO,hl,gate,0.0000,-0.0991,-0.0231,8,1.0,-1,
FET,hl,gate,0.0000,-0.0991,-0.0231,8,1.0,-1,
CAKE,hl,binance,0.0000,-0.0991,-0.0231,4,1.0,-1,
ICP,hl,binance,0.0000,-0.0991,-0.0231,8,1.0,-1,
HYPE,hl,binance,0.0000,-0.0991,-0.0231,4,1.0,-1,
BSV,hl,binance,0.0000,-0.0991,-0.0231,4,1.0,-1,
ORDI,hl,binance,0.0000,-0.0991,-0.0231,4,1.0,-1,
OP,hl,binance,0.0000,-0.0991,-0.0231,8,1.0,-1,
OP,hl,gate,0.0000,-0.0991,-0.0231,8,1.0,-1,
LTC,hl,binance,0.0000,-0.0991,-0.0231,8,1.0,-1,
ETH,hl,gate,0.0000,-0.0991,-0.0231,8,1.0,-1,
TRB,hl,binance,0.0000,-0.0991,-0.0231,4,1.0,-1,
INJ,hl,binance,0.0000,-0.0991,-0.0231,8,1.0,-1,
ENS,hl,binance,0.0000,-0.0991,-0.0231,8,1.0,-1,
ENS,hl,gate,0.0000,-0.0991,-0.0231,8,1.0,-1,
LINK,hl,gate,0.0000,-0.0991,-0.0231,8,1.0,-1,
LIT,hl,binance,0.0000,-0.0991,-0.0231,4,1.0,-1,
ZEC,aster,bybit,0.0000,-0.0991,-0.0231,8.0,1,-1,
GOOGL,bybit,binance,0.0021,-0.1074,-0.0235,8,8.0,-1,
XAU,binance,gate,0.0006,-0.1037,-0.0237,8,4,-1,
TAO,hl,bybit,0.0006,-0.1037,-0.0238,4.0,1.0,-1,
NEAR,gate,binance,0.0000,-0.1043,-0.0243,8,8,-1,
NEAR,hl,bybit,0.0000,-0.1043,-0.0243,8.0,1.0,-1,
ZRO,hl,bybit,0.0000,-0.1043,-0.0243,4.0,1.0,-1,
COMP,gate,binance,0.0000,-0.1043,-0.0243,8,8,-1,
COMP,hl,bybit,0.0000,-0.1043,-0.0243,8.0,1.0,-1,
WIF,hl,bybit,0.0000,-0.1043,-0.0243,4.0,1.0,-1,
BANANA,gate,binance,0.0000,-0.1043,-0.0243,4,8,-1,
BANANA,hl,bybit,0.0000,-0.1043,-0.0243,4.0,1.0,-1,
PENDLE,hl,bybit,0.0000,-0.1043,-0.0243,8.0,1.0,-1,
EGLD,gate,binance,0.0000,-0.1043,-0.0243,8,8,-1,
GAS,hl,bybit,0.0000,-0.1043,-0.0243,4.0,1.0,-1,
M,gate,binance,0.0000,-0.1043,-0.0243,4,8,-1,
ENA,hl,bybit,0.0000,-0.1043,-0.0243,4.0,1.0,-1,
ENA,gate,okx,0.0000,-0.1043,-0.0243,8,8,-1,
GRAM,hl,bybit,0.0000,-0.1043,-0.0243,4.0,1.0,-1,
VVV,hl,bybit,0.0000,-0.1043,-0.0243,4.0,1.0,-1,
DOGE,gate,binance,0.0000,-0.1043,-0.0243,8,8,-1,
DOGE,hl,bybit,0.0000,-0.1043,-0.0243,8.0,1.0,-1,
QNT,gate,binance,0.0000,-0.1043,-0.0243,8,8,-1,
AR,gate,binance,0.0000,-0.1043,-0.0243,8,8,-1,
AR,hl,bybit,0.0000,-0.1043,-0.0243,8.0,1.0,-1,
JUP,hl,bybit,0.0000,-0.1043,-0.0243,4.0,1.0,-1,
DASH,hl,bybit,0.0000,-0.1043,-0.0243,8.0,1.0,-1,
ADA,gate,okx,0.0000,-0.1043,-0.0243,8,8,-1,
ARB,gate,binance,0.0000,-0.1043,-0.0243,8,8,-1,
ARB,hl,bybit,0.0000,-0.1043,-0.0243,8.0,1.0,-1,
UNI,gate,binance,0.0000,-0.1043,-0.0243,8,8,-1,
AUCTION,gate,binance,0.0000,-0.1043,-0.0243,4,8,-1,
NEO,gate,binance,0.0000,-0.1043,-0.0243,8,8,-1,
CAKE,hl,bybit,0.0000,-0.1043,-0.0243,4.0,1.0,-1,
SNDK,bitget,aster,0.0000,-0.1043,-0.0243,8,8,10904216.96,
BSV,hl,bybit,0.0000,-0.1043,-0.0243,4.0,1.0,-1,
ORDI,hl,bybit,0.0000,-0.1043,-0.0243,4.0,1.0,-1,
OP,gate,binance,0.0000,-0.1043,-0.0243,8,8,-1,
OP,hl,bybit,0.0000,-0.1043,-0.0243,8.0,1.0,-1,
CVX,gate,binance,0.0000,-0.1043,-0.0243,4,8,-1,
ETC,gate,binance,0.0000,-0.1043,-0.0243,8,8,-1,
NMR,gate,binance,0.0000,-0.1043,-0.0243,4,8,-1,
XMR,hl,bybit,0.0000,-0.1043,-0.0243,8.0,1.0,-1,
FOLKS,gate,binance,0.0000,-0.1043,-0.0243,4,8,-1,
TRB,hl,bybit,0.0000,-0.1043,-0.0243,4.0,1.0,-1,
ENS,gate,binance,0.0000,-0.1043,-0.0243,8,8,-1,
ENS,hl,bybit,0.0000,-0.1043,-0.0243,8.0,1.0,-1,
YFI,gate,binance,0.0000,-0.1043,-0.0243,8,8,-1,
SHEIN,gate,bybit,0.0011,-0.1084,-0.0245,8.0,8,-1,
TAO,binance,bybit,0.0006,-0.1089,-0.0250,4.0,4,-1,
XAUT,bitget,binance,0.0018,-0.1130,-0.0250,4,4,-1,
BCH,bitget,hl,0.0000,-0.1095,-0.0255,1.0,8,841647.8794100002,
NEAR,bitget,hl,0.0000,-0.1095,-0.0255,1.0,8,16526646.104,
DOT,bitget,hl,0.0000,-0.1095,-0.0255,1.0,8,1270540.803849,
BNB,bitget,hl,0.0000,-0.1095,-0.0255,1.0,8,2919316.6205899995,
ENA,bitget,hl,0.0000,-0.1095,-0.0255,1.0,4,18736098.231860004,
GRAM,bitget,hl,0.0000,-0.1095,-0.0255,1.0,4,4684332.03093,
DOGE,bitget,hl,0.0000,-0.1095,-0.0255,1.0,8,6903991.3156,
DASH,bitget,hl,0.0000,-0.1095,-0.0255,1.0,8,1905831.6891400004,
TAO,bitget,hl,0.0000,-0.1095,-0.0255,1.0,4,6674263.28245,
UNI,bitget,hl,0.0000,-0.1095,-0.0255,1.0,8,27906684.824,
XRP,bitget,hl,0.0000,-0.1095,-0.0255,1.0,8,44023335.93779998,
OP,bitget,hl,0.0000,-0.1095,-0.0255,1.0,8,2165479.931987999,
LTC,bitget,hl,0.0000,-0.1095,-0.0255,1.0,8,939445.8251100001,
ETH,bitget,hl,0.0000,-0.1095,-0.0255,1.0,8,1000323714.5340816,
XMR,bitget,hl,0.0000,-0.1095,-0.0255,1.0,8,10673565.1688,
BTC,bitget,hl,0.0000,-0.1095,-0.0255,1.0,8,2138798394.10627,
INJ,bitget,hl,0.0000,-0.1095,-0.0255,1.0,8,2857130.7023499995,
LINK,bitget,hl,0.0000,-0.1095,-0.0255,1.0,8,6353086.070199998,
LIT,bitget,hl,0.0000,-0.1095,-0.0255,1.0,4,3432762.1,
ORCL,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
RPL,bybit,binance,0.0000,-0.1095,-0.0256,4,4.0,-1,
TEM,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
ALAB,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
LITE,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
NET,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
EWY,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
NEAR,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
NEAR,gate,bybit,0.0000,-0.1095,-0.0256,8.0,8,-1,
COHR,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
NVDA,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
SKHY,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
FLUID,bybit,binance,0.0000,-0.1095,-0.0256,4,4.0,-1,
DRAM,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
GS,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
LRCX,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
LYTE,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
NOW,bybit,binance,0.0000,-0.1095,-0.0256,8,8.0,-1,
