coin,long,short,gross_apr,net7,net30,iv_short,iv_long,vol_min,flag
HYPE,gate,hl,0.1347,0.0356,0.1116,1.0,8,-1,
ETC,bybit,binance,0.1367,0.0272,0.1111,8,8.0,-1,
ETC,bybit,gate,0.1367,0.0272,0.1111,8,8.0,-1,
MRNA,gate,binance,0.1353,0.0311,0.1110,8,8,-1,
TIA,hl,binance,0.1335,0.0345,0.1104,4,1.0,-1,
HYPE,gate,binance,0.1347,0.0304,0.1104,4,8,-1,
ADA,bybit,bitget,0.1381,0.0182,0.1101,8,8.0,-1,
PAXG,hl,bitget,0.1339,0.0244,0.1084,4,1.0,2823489.4653999996,
SKHY,gate,binance,0.1325,0.0282,0.1082,8,8,-1,
SKHY,gate,bybit,0.1325,0.0230,0.1069,8.0,8,-1,
UVXY,bybit,binance,0.1320,0.0225,0.1064,8,8.0,-1,
SKHY,gate,bitget,0.1325,0.0178,0.1057,8,8,-1,
BZ,bitget,binance,0.1318,0.0171,0.1050,4,4,-1,
ZEC,binance,aster,0.1269,0.0331,0.1050,1,8,-1,
TRUMP,bitget,gate,0.1314,0.0167,0.1046,8,4,-1,
XVS,gate,binance,0.1286,0.0244,0.1043,8,8,-1,
AAVE,gate,hl,0.1270,0.0279,0.1039,1.0,8,-1,
APT,bitget,hl,0.1292,0.0197,0.1037,1.0,8,1615790.2713729998,
APT,bitget,gate,0.1303,0.0156,0.1035,8,8,-1,
METIS,binance,bybit,0.1289,0.0194,0.1034,4.0,4,-1,
CL,bitget,aster,0.1272,0.0230,0.1029,4,4,15479312.18,
HYPE,bybit,aster,0.1257,0.0266,0.1026,4,8.0,-1,
AVAX,gate,bitget,0.1292,0.0145,0.1024,8,8,-1,
LTC,gate,hl,0.1248,0.0258,0.1017,1.0,8,-1,
ZEC,binance,bybit,0.1269,0.0174,0.1014,8.0,8,-1,
CAKE,gate,hl,0.1237,0.0247,0.1006,1.0,8,-1,
LTC,gate,binance,0.1248,0.0205,0.1005,8,8,-1,
LINK,bybit,binance,0.1255,0.0160,0.0999,8,8.0,-1,
CL,aster,bybit,0.1227,0.0236,0.0996,8.0,4,-1,
CAKE,gate,binance,0.1237,0.0194,0.0994,4,8,-1,
XAUT,bybit,binance,0.1244,0.0149,0.0988,4,4.0,-1,
HYPE,gate,aster,0.1207,0.0269,0.0988,4,8,-1,
RKLB,binance,bybit,0.1241,0.0146,0.0986,8.0,8,-1,
JUP,gate,hl,0.1215,0.0225,0.0984,1.0,8,-1,
CAKE,gate,bybit,0.1237,0.0142,0.0982,4.0,8,-1,
LTC,gate,bitget,0.1248,0.0101,0.0981,8,8,-1,
WMT,bybit,binance,0.1230,0.0135,0.0974,8,8.0,-1,
JUP,gate,binance,0.1215,0.0173,0.0972,4,8,-1,
JUP,gate,bybit,0.1215,0.0120,0.0960,4.0,8,-1,
AVAX,bybit,binance,0.1209,0.0114,0.0953,8,8.0,-1,
ORDI,gate,hl,0.1183,0.0192,0.0951,1.0,8,-1,
XAUT,bybit,bitget,0.1226,0.0027,0.0947,4,4.0,-1,
DOT,gate,hl,0.1172,0.0181,0.0940,1.0,8,-1,
ORDI,gate,binance,0.1183,0.0140,0.0939,4,8,-1,
ORDI,gate,bybit,0.1183,0.0088,0.0927,4.0,8,-1,
KO,bybit,binance,0.1182,0.0087,0.0927,8,8.0,-1,
MORPHO,binance,hl,0.1153,0.0163,0.0922,1.0,4,-1,
DEXE,binance,bybit,0.1175,0.0080,0.0920,4.0,4,-1,
BZ,bitget,gate,0.1183,0.0035,0.0915,8,4,-1,
SOL,binance,bitget,0.1182,0.0035,0.0915,8,8,-1,
DOT,gate,bitget,0.1172,0.0025,0.0904,8,8,-1,
ZEC,gate,hl,0.1135,0.0144,0.0904,1.0,8,-1,
XAG,binance,bitget,0.1161,0.0014,0.0893,4,4,-1,
