coin,short_venue,long_venue,apr_30d,pos_day_frac,n_windows,rt1k_med,rt1k_min,rt1k_max,rt5k_med,rt10k_med,rt10k_max,swing_1k,swing_10k,net1k_worst,net1k_best,net10k_worst,net1k_maker_worst,cap_stable,depth1k_worst,wins_pass1k,wins_pass10k,wins_total,rt1k_by_window,cap_by_window,verdict,pass_10k_stable
KITE,aster,bitget,0.211597,1.0,9,31.2,16.3,37.7,66.7,179.8,354.9,1.2,2.0,0.1413,0.1675,-0.2445,0.1586,2500,1703,9,0,9,20|31|38|38|31|32|16|32|27,5000|5000|5000|5000|5000|5000|5000|5000|2500,STABLE,0
USELESS,aster,binance,0.124192,1.0,9,21.8,19.3,29.7,36.6,53.6,81.3,1.4,1.5,0.0661,0.0788,0.0034,0.0887,2500,1279,9,0,9,30|20|19|25|23|20|21|22|23,2500|10000|10000|5000|10000|10000|10000|5000|10000,STABLE,0
龙虾,aster,binance,1.10465,1.0,9,37.7,21.3,129.8,90.3,217.0,418.0,3.4,1.9,0.9248,1.0568,0.5742,1.0025,0,0,6,0,9,38|56|130|52|38|31|21|33|22,2500|1000|0|1000|1000|2500|2500|2500|10000,FLAKY,0
BTW,aster,bybit,0.700195,0.966292,9,37.0,29.7,55.4,72.1,111.5,193.9,1.5,1.7,0.6096,0.6409,0.4411,0.6244,1000,783,8,0,9,37|36|37|33|36|55|30|45|37,2500|5000|2500|2500|2500|1000|5000|2500|2500,FLAKY,0
POWER,aster,binance,0.436129,1.0,9,59.1,33.2,82.3,1119.8,1973.4,2304.4,1.4,1.2,0.3141,0.3738,-2.3894,0.3523,0,123,7,0,9,64|81|55|48|33|82|59|62|43,1000|0|1000|1000|1000|1000|1000|1000|1000,FLAKY,0
POWER,aster,bitget,0.412953,0.956044,9,58.9,46.6,68.8,1106.6,1950.4,2244.1,1.2,1.2,0.3049,0.332,-2.3417,0.3425,0,123,7,0,9,60|69|58|54|48|68|64|59|47,1000|0|1000|1000|1000|1000|1000|1000|1000,FLAKY,0
POWER,aster,bybit,0.451361,0.989011,9,76.9,57.3,107.7,1241.1,2180.0,2649.8,1.4,1.2,0.2972,0.3585,-2.7956,0.3368,0,123,0,0,9,99|108|67|63|57|91|85|77|69,500|0|1000|1000|1000|1000|500|1000|500,FAIL,0
XMR,dydx,bybit,0.984207,0.976744,9,192.8,89.8,551.8,433.6,490.4,931.4,2.9,1.9,0.2872,0.8494,-0.1746,0.7492,0,0,0,0,9,134|239|189|193|364|254|90|552|184,0|0|0|0|0|0|0|0|500,FAIL,0
XMR,dydx,binance,0.976869,0.976744,9,187.4,84.2,554.4,427.6,485.3,928.8,3.0,1.9,0.278,0.8501,-0.1775,0.7399,0,0,0,0,9,129|234|187|187|360|250|84|554|181,0|0|0|0|0|0|0|0|500,FAIL,0
XMR,dydx,bitget,0.980698,0.976744,9,196.1,94.3,565.1,438.6,498.0,941.2,2.9,1.9,0.2664,0.8393,-0.1912,0.7284,0,0,0,0,9,137|242|194|196|370|258|94|565|188,0|0|0|0|0|0|0|0|500,FAIL,0
RIVER,aster,bybit,0.300126,1.0,9,37.2,34.7,41.9,92.5,162.6,186.7,1.1,1.1,0.226,0.2348,0.0499,0.2468,1000,963,8,0,9,37|36|39|40|39|35|42|37|37,2500|2500|2500|1000|2500|2500|2500|1000|2500,FLAKY,0
TAO,dydx,binance,0.359504,0.55814,9,46.1,33.4,91.3,47.8,51.0,95.4,2.0,1.9,0.2241,0.2945,0.219,0.2789,0,0,7,3,9,33|40|49|50|91|57|46|34|41,10000|10000|10000|5000|0|0|10000|10000|25000,FLAKY,0
TAO,dydx,bybit,0.35605,0.488372,9,47.0,34.5,92.9,50.6,54.2,96.8,2.0,1.8,0.2174,0.2885,0.2127,0.2722,0,0,7,3,9,35|43|49|50|93|59|47|35|42,10000|10000|10000|5000|0|0|10000|10000|25000,FLAKY,0
TAO,dydx,bitget,0.357612,0.534884,9,49.7,37.1,93.9,53.4,56.1,97.8,1.9,1.7,0.2166,0.2857,0.2118,0.2714,0,0,7,3,9,37|43|52|52|94|61|50|37|43,10000|10000|10000|5000|0|0|10000|10000|25000,FLAKY,0
ZEC,dydx,binance,0.289376,0.906977,9,44.5,32.2,50.9,54.2,59.0,87.4,1.1,1.5,0.2032,0.2259,0.1587,0.2339,500,928,3,0,9,45|50|39|32|51|41|42|48|45,1000|1000|1000|1000|500|5000|5000|5000|1000,FLAKY,0
TAO,dydx,aster,0.268785,0.372093,9,51.6,39.4,95.6,55.3,59.8,100.4,1.9,1.7,0.1305,0.199,0.1247,0.1853,0,0,7,3,9,40|45|53|55|96|61|52|39|44,10000|10000|10000|5000|0|0|10000|10000|25000,FLAKY,0
KITE,aster,bybit,0.219558,1.0,9,39.2,25.9,57.3,98.6,274.0,469.7,1.5,1.7,0.1268,0.1649,-0.3751,0.147,500,390,8,0,9,29|39|44|57|43|39|26|41|28,2500|2500|1000|500|2500|2500|2500|2500|2500,FLAKY,0
ONDO,dydx,binance,0.456695,0.930233,9,84.8,76.0,309.1,86.8,102.0,339.3,3.6,3.3,0.0563,0.3399,0.0196,0.328,0,0,0,0,9,83|96|84|107|309|102|85|76|78,0|0|0|0|0|0|0|0|0,FAIL,0
ONDO,dydx,bybit,0.453457,0.883721,9,86.1,76.0,309.1,87.4,103.5,340.5,3.6,3.3,0.0519,0.3354,0.0136,0.3236,0,0,0,0,9,83|96|84|107|309|105|86|76|80,0|0|0|0|0|0|0|0|0,FAIL,0
FIL,aster,binance,0.101842,1.0,9,16.5,14.8,28.6,31.8,39.6,44.8,1.7,1.1,0.0451,0.0619,0.0255,0.0702,10000,6236,6,0,9,16|29|21|27|28|16|16|15|16,10000|10000|10000|10000|10000|10000|10000|10000|10000,FLAKY,0
FET,aster,binance,0.106466,1.0,9,26.5,26.0,36.2,35.5,43.9,92.3,1.4,2.1,0.0405,0.0529,-0.0278,0.0662,5000,4057,5,0,9,36|32|26|26|36|26|26|27|36,5000|5000|10000|10000|5000|10000|10000|10000|5000,FLAKY,0
FIL,aster,bybit,0.103373,1.0,9,20.3,19.0,34.3,40.3,49.0,57.5,1.7,1.2,0.0385,0.0571,0.0102,0.0641,10000,6236,6,0,9,20|34|25|34|32|20|20|19|20,10000|10000|10000|10000|10000|10000|10000|10000|10000,FLAKY,0
ONDO,dydx,bitget,0.443969,0.883721,9,87.8,77.4,311.6,90.1,105.9,341.7,3.5,3.2,0.0381,0.323,0.0015,0.3098,0,0,0,0,9,83|98|84|110|312|104|88|77|79,0|0|0|0|0|0|0|0|0,FAIL,0
LDO,aster,bybit,0.094304,1.0,9,25.7,18.9,29.3,41.7,55.8,174.3,1.1,3.1,0.0355,0.0482,-0.1409,0.0556,5000,6345,0,0,9,29|26|26|28|21|19|22|21|28,5000|5000|10000|10000|10000|10000|10000|10000|5000,FAIL,0
FIL,aster,bitget,0.098304,1.0,9,18.6,16.6,32.1,35.7,43.9,51.0,1.7,1.2,0.0349,0.0537,0.0119,0.06,10000,6236,5,0,9,18|32|25|31|29|18|17|17|19,10000|10000|10000|10000|10000|10000|10000|10000|10000,FLAKY,0
LDO,aster,binance,0.091971,1.0,9,20.7,15.6,29.0,38.2,47.6,170.8,1.4,3.6,0.0348,0.0511,-0.1377,0.0577,5000,6345,1,0,9,28|24|21|21|19|16|20|20|29,5000|5000|10000|10000|10000|10000|10000|10000|5000,FLAKY,0
USELESS,aster,bitget,0.108899,1.0,9,28.5,25.1,43.3,44.3,64.9,103.4,1.5,1.6,0.0319,0.054,-0.0413,0.0545,2500,1279,4,0,9,43|25|26|28|29|27|32|26|32,2500|10000|10000|5000|10000|10000|10000|5000|10000,FLAKY,0
USELESS,aster,okx,0.111347,1.0,9,33.1,30.9,48.1,73.4,119.1,159.6,1.4,1.3,0.031,0.0518,-0.1047,0.0536,1000,1037,3,0,9,48|32|31|37|33|31|32|35|39,1000|5000|2500|2500|5000|5000|5000|5000|2500,FLAKY,0
ONDO,dydx,aster,0.442184,0.860465,9,95.8,78.9,320.2,99.7,109.9,352.6,3.3,3.2,0.0307,0.3243,-0.0088,0.3024,0,0,0,0,9,96|102|87|110|320|105|88|79|83,0|0|0|0|0|0|0|0|0,FAIL,0
USELESS,aster,bybit,0.094938,0.967033,9,27.4,25.3,35.9,45.3,64.5,94.0,1.3,1.5,0.0282,0.041,-0.0426,0.0498,2500,1279,0,0,9,36|26|27|32|26|26|25|28|30,2500|10000|10000|5000|10000|10000|10000|5000|10000,FAIL,0
LDO,aster,bitget,0.091289,1.0,9,25.1,21.6,35.0,45.2,55.3,181.2,1.4,3.3,0.0243,0.0406,-0.1535,0.0472,5000,6345,0,0,9,35|29|25|22|25|23|26|23|31,5000|5000|10000|10000|10000|10000|10000|10000|5000,FAIL,0
FET,aster,bitget,0.0972,1.0,9,29.1,26.4,41.2,39.0,45.5,97.4,1.4,2.1,0.0228,0.0407,-0.0457,0.0484,5000,4057,0,0,9,40|38|28|29|36|27|26|27|41,5000|5000|10000|10000|5000|10000|10000|10000|5000,FAIL,0
AR,aster,binance,0.08856,1.0,9,33.2,26.5,37.8,59.7,78.7,216.4,1.1,2.7,0.0207,0.0344,-0.1967,0.0437,2500,1000,0,0,9,34|36|33|32|38|27|34|31|32,2500|2500|5000|2500|10000|5000|5000|5000|10000,FAIL,0
WIF,aster,binance,0.085508,1.0,9,30.4,20.2,37.5,46.9,62.1,82.5,1.2,1.3,0.018,0.039,-0.0368,0.0463,5000,1069,0,0,9,31|20|23|21|35|36|30|37|30,5000|10000|10000|10000|5000|5000|5000|10000|5000,FAIL,0
WIF,aster,bybit,0.090398,1.0,9,33.7,23.7,41.4,50.1,63.7,83.5,1.2,1.3,0.017,0.0385,-0.0343,0.0452,5000,1069,0,0,9,33|25|28|24|38|39|35|41|34,5000|10000|10000|10000|5000|5000|5000|10000|5000,FAIL,0
